Country,Year,GDP_Growth_Rate,Inflation_Rate,GDP_Per_Capita,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index
European Union,1970,5.508305287,4.50608893,1888.62756,7.999388785,40.23778152,39.91290283
Fragile and conflict affected situations,1970,12.2177344,-2.885182528,214.4787957,7.657607547,37.38938904,30.93065453
Finland,1970,7.470432644,2.740420431,2465.644819,7.861590537,38.89195251,41.08411026
Fiji,1970,12.70271113,4.124178563,416.7253857,7.623524263,37.77386475,29.90389633
France,1970,6.108679758,5.299641246,2870.15751,7.927482947,40.31962204,41.05041122
Gabon,1970,8.679342176,3.812664908,542.2083275,7.859332346,36.59587097,38.2682991
United Kingdom,1970,2.708581505,6.366568417,2347.544318,8.149365589,44.13416672,39.2416954
Georgia,1970,12.05207582,-7.759743047,8313.59969,7.372444677,45.56084442,37.10744858
Ghana,1970,9.723472587,3.030303031,249.9133518,7.807846537,36.12644577,35.39699173
"Gambia, The",1970,6.153846573,-1.98509388,98.90867695,8.027885033,38.10827255,39.82517624
Greece,1970,8.930580656,2.841670679,1494.387984,7.809815146,37.2771225,37.71163177
Guatemala,1970,5.707883598,2.344339349,349.0249756,8.044251238,38.83651352,39.13891602
Guyana,1970,4.255456893,24.12696416,379.7175797,8.123319096,40.90803528,34.9208374
High income,1970,3.019043913,27.08693158,2441.674489,8.121654654,43.36805725,35.67018509
"Hong Kong SAR, China",1970,9.206830693,6.915217621,960.0319615,7.808897559,36.68262863,36.01578903
Honduras,1970,3.62672094,2.880886427,259.8146512,8.17167125,41.36403275,38.58270264
Heavily indebted poor countries (HIPC),1970,0.016209375,38.69601166,158.7043215,8.382497647,38.20441055,25.08052444
Haiti,1970,0.651153708,1.368493407,70.75695414,8.356696488,41.84510803,35.83180618
Hungary,1970,4.7,22.5055414,557.3729824,8.090528208,40.0953598,35.00753784
IBRD only,1970,7.70145871,12.4671011,257.4849816,7.923606034,36.55020142,37.9007988
IDA & IBRD total,1970,7.776299083,12.22073495,243.5104304,7.91967993,36.49570465,37.95249176
IDA total,1970,8.242260751,10.68079387,166.4781984,7.89487333,36.22910309,37.89324951
IDA blend,1970,17.96419712,-22.44683214,205.2182413,7.317502172,40.99759674,31.30959702
Indonesia,1970,7.554634515,12.39946465,79.41345543,7.941149802,36.54165268,37.82835388
IDA only,1970,0.869641654,35.79524947,150.0323861,8.33225221,38.84220123,26.94057274
India,1970,5.157229737,5.09226162,111.9683182,8.085073986,39.69324875,38.28402328
Ireland,1970,2.660529298,8.207190161,1486.514527,8.183190199,42.79657745,37.77640533
"Iran, Islamic Rep.",1970,10.92760163,1.66687094,385.812266,7.731322633,36.68556595,32.68362045
Iraq,1970,4.544357067,4.355595265,334.4412024,8.113750249,40.84750366,38.9980278
Iceland,1970,7.458143075,13.37247515,2576.353444,7.855487861,38.43797302,38.9654541
Israel,1970,7.30733553,6.110742036,2476.219881,7.87006005,38.85050583,40.71755981
Italy,1970,5.310502429,4.968319873,2106.863959,8.00311332,40.78585434,39.92115784
Jamaica,1970,12.06440904,14.7280042,755.5953108,7.646488768,38.11196899,29.26702118
Japan,1970,0.399050645,6.924173835,2100.74807,8.296173899,42.37937927,35.75194168
Kenya,1970,-4.655446916,2.188527039,139.7572736,8.670914382,32.22600174,33.50336075
"Korea, Rep.",1970,10.05273481,15.95034236,279.3087463,7.783711233,36.45042801,32.33856583
Latin America & Caribbean (excluding high income),1970,6.810821214,4.303903352,8974.589302,7.662357157,45.41104126,43.49604034
Liberia,1970,6.663192709,16.0247622,220.7624134,7.986450963,37.05452347,37.0411377
Libya,1970,4.950748919,-5.296371422,2410.279115,8.016220159,42.25072861,41.78462601
Latin America & Caribbean,1970,6.521408861,4.652297493,9010.109873,7.678300385,45.49243546,43.84674835
Least developed countries: UN classification,1970,-0.709250473,41.17745242,140.2651263,8.426146512,37.26988983,24.31816864
Low income,1970,2.832247688,22.68028738,9444.798388,7.878901435,50.32859802,42.4665184
Sri Lanka,1970,3.846629857,5.866956078,185.3671328,8.160469946,41.37255859,38.40505219
Lower middle income,1970,7.203887709,14.22978482,144.6571944,7.957183202,36.6503067,37.40556335
Low & middle income,1970,7.933697739,11.71096453,200.3175736,7.911924312,36.3704071,38.05129623
Lesotho,1970,2.177071169,31.39356761,67.16291998,8.257806001,40.08679581,30.72475243
Late-demographic dividend,1970,10.81376081,1.842689366,301.5573646,7.737620462,36.5644455,32.9282608
Luxembourg,1970,1.759933831,4.639353444,4298.033897,8.135263225,47.18901443,40.65066147
Morocco,1970,4.713460376,1.279181324,257.7296448,8.107259555,40.35470581,39.19848251
Madagascar,1970,5.276455575,2.878645343,167.4550101,8.076508718,39.51565552,38.68012619
Middle East & North Africa,1970,17.53175527,3.739278722,402.6781162,7.335709037,41.51128387,29.50623703
Mexico,1970,6.502484035,5.003412055,706.3131871,7.983046951,38.08336258,39.69959259
Middle income,1970,8.104266356,11.12663959,206.1270565,7.901608125,36.2989502,38.00373459
Mali,1970,6.136954863,17.91505186,58.46546333,8.023523754,37.4646759,36.34357834
Myanmar,1970,4.979330597,-4.008438818,20.6550842,8.101425593,39.57424164,39.29787445
Middle East & North Africa (excluding high income),1970,8.373203231,4.05924693,321.5433993,7.885609634,36.55491638,39.13151932
Mauritania,1970,11.98593115,-2.132995868,275.7136584,7.669115674,37.27376556,31.22657967
Mauritius,1970,-0.402343021,1.541865943,271.338747,8.412250467,40.14357376,34.78301239
Malawi,1970,0.479297978,30.4487468,9733.486378,8.008151922,45.09958267,37.72765732
Malaysia,1970,5.98653863,1.843935966,374.9228805,8.026793649,38.40088654,39.46503448
North America,1970,0.433701018,4.592147576,5130.399802,8.18409717,45.81671906,40.22344589
New Caledonia,1970,30.99928973,-68.65053896,3203.711465,6.436314814,38.48632813,35.51102829
Niger,1970,3.055778922,1.117838845,139.1771437,8.210640653,41.25833893,37.86035538
Nigeria,1970,25.00724193,13.75707992,225.7739995,6.89303914,44.42191315,29.46821022
Nicaragua,1970,1.35382659,27.56141776,9626.188756,7.960112965,47.96029663,38.8010025
Netherlands,1970,6.140181424,3.668930888,2927.072939,7.923951897,40.40308762,41.31120682
Norway,1970,1.943300505,10.63720653,3306.219476,8.15894825,44.90823746,38.05067062
Nepal,1970,2.575992127,15.23727845,69.27090364,8.238138758,40.97028732,34.89462662
New Zealand,1970,-1.3976076,6.517181052,2311.027722,8.395913898,39.22880554,35.02773285
OECD members,1970,2.759900073,5.731144843,2618.626686,8.136569556,44.57513809,39.79189301
Oman,1970,13.89509644,-8.698433382,382.1715672,7.552141838,38.7453804,30.69562912
Pakistan,1970,11.35346172,5.34984091,169.1240002,7.712830664,36.6512146,31.14681816
Panama,1970,6.959226108,3.083294984,891.0546713,7.949525951,38.13503265,40.35769653
Peru,1970,3.365946003,5.025235901,9402.28426,7.852835463,52.29800415,47.60126114
Philippines,1970,3.692487487,14.38146168,201.9232587,8.166834163,41.70615005,37.25654984
Papua New Guinea,1970,10.84280578,1.76937073,259.3623595,7.737432741,36.53726196,32.86669159
Pre-demographic dividend,1970,8.646975079,9.290624094,186.3996769,7.870172769,36.23955536,37.30228806
Puerto Rico,1970,8.397917946,9.128639938,1852.354673,7.824401068,37.58299255,37.93315887
Portugal,1970,9.11384196,6.38014449,934.0821561,7.818397429,36.66872787,36.39292526
Paraguay,1970,5.553425733,-0.859556021,246.850847,8.058049424,39.13154984,39.26153564
Post-demographic dividend,1970,2.676546481,4.968319873,2785.861159,8.135642454,44.93338394,40.08912277
French Polynesia,1970,1.626711339,32.00186479,2154.83795,8.214562839,41.42882156,30.99815369
Rwanda,1970,6.001425247,0.514885808,56.43719034,8.037882519,38.19257736,39.35398483
South Asia,1970,5.907181552,5.608398494,118.1973193,8.039917747,38.2579155,38.67098236
Saudi Arabia,1970,52.5920942,0.177777778,880.636281,5.225108729,45.0802536,36.79911804
Sudan,1970,5.925074716,4.02779565,143.4661255,8.038341833,38.28052139,38.93480682
Senegal,1970,8.562045515,2.810248199,297.0429711,7.875553306,36.50592422,38.82057953
Singapore,1970,13.942003,0.463352991,925.7978643,7.531878496,39.40889359,30.38326263
Sierra Leone,1970,8.62049324,9.398981897,156.406377,7.872831355,36.22956467,37.36790848
El Salvador,1970,2.977295093,2.817853922,313.0400183,8.208533353,41.49564362,37.81359482
Somalia,1970,4.581407921,23.19058734,93.51989929,8.114406558,39.99581909,34.56111145
Sub-Saharan Africa (excluding high income),1970,7.845061018,11.9889009,239.7052755,7.915744464,36.4526329,38.00647736
Sub-Saharan Africa,1970,7.845648716,11.98689769,239.7086435,7.915709524,36.45228958,38.00696182
Suriname,1970,2.7,2.588042588,723.577193,8.210166319,42.33457947,38.19957733
Sweden,1970,6.473673926,7.016358851,4736.217154,7.837096907,41.32771301,41.84312057
Seychelles,1970,8.871869865,8.429356393,343.8811885,7.851127614,36.25268936,36.74436188
Syrian Arab Republic,1970,-1.796852875,4.637681159,338.7112796,8.492268171,37.03063202,32.93408585
Chad,1970,1.859656479,32.43753712,127.9564554,8.274402103,39.78646088,29.82148361
East Asia & Pacific (IDA & IBRD countries),1970,13.44169049,-6.992718212,115.2622192,7.58870053,38.14365768,30.56803322
Togo,1970,2.524302645,4.480620155,163.2240506,8.24062282,41.50361633,37.01288986
Thailand,1970,11.40794907,-0.088041086,197.9937498,7.709951394,36.75696945,31.87751389
Latin America & the Caribbean (IDA & IBRD countries),1970,6.528901475,4.303903352,9009.675088,7.677957579,45.54018021,43.88376236
Middle East & North Africa (IDA & IBRD countries),1970,8.373203231,4.05924693,318.5696062,7.885718214,36.55263519,39.13165665
South Asia (IDA & IBRD),1970,5.907181552,5.608398494,118.1973193,8.039917747,38.25791931,38.67098236
Sub-Saharan Africa (IDA & IBRD countries),1970,7.845648716,11.98689769,239.7086435,7.915709524,36.45228958,38.00696182
Trinidad and Tobago,1970,3.533635678,2.523900574,831.0833359,8.156466447,42.01044083,39.05851364
Tunisia,1970,4.669631773,22.77399709,285.1442237,8.102217835,39.94699097,34.74196625
Turkiye,1970,3.233508973,7.923952083,502.6206744,8.184966091,41.98997498,37.94696045
Tanzania,1970,-46.43303514,3.492884864,215.2334442,11.16310875,25.76977348,1.359889388
Upper middle income,1970,8.395368134,10.11119094,246.0731085,7.88291087,36.29608536,37.76899719
Uruguay,1970,2.333213381,16.30614494,765.911759,8.226922442,41.48600769,34.79958344
United States,1970,0.216606498,5.838255338,5234.296666,8.192942748,45.26972961,39.71050262
St. Vincent and the Grenadines,1970,10.74588955,2.143017294,187.3876436,7.745789374,36.4341774,33.03993225
"Venezuela, RB",1970,7.711914381,11.9703416,1018.108984,7.895351932,37.13297272,38.45568085
World,1970,3.735703524,25.63385058,813.3802713,8.13835557,41.88777924,35.23427582
South Africa,1970,5.248661431,4.991877117,948.5917938,8.049092147,40.10144043,38.97395325
Zambia,1970,4.797112903,22.25432912,426.3021877,8.089536887,39.76710892,34.8768692
Zimbabwe,1970,22.56515084,-38.20866905,362.1441468,7.039223194,40.84757996,32.80701828
Africa Eastern and Southern,1971,5.473910819,20.04553084,268.3500786,8.055179511,38.54423904,35.52096939
Africa Western and Central,1971,10.58261653,2.693086965,197.1038803,7.755109269,36.37979507,33.35161209
Andorra,1971,4.649465361,20.47328262,4193.162374,7.961428107,42.99510956,38.49889374
Arab World,1971,9.118633965,7.557291086,396.3473072,7.834602214,36.17830658,36.13132477
United Arab Emirates,1971,36.61237785,-87.47534102,2728.180358,6.121051391,35.96585083,35.16938782
Argentina,1971,5.658131082,13.35039801,9098.085242,7.723672105,45.38632965,43.04498672
Australia,1971,4.0006402,6.138107417,3495.141627,8.030351905,44.99582291,41.72009659
Austria,1971,5.114968585,4.704258138,2380.978458,8.004852979,41.54745102,40.23414612
Burundi,1971,2.746828712,3.85096274,70.58552337,8.230879733,41.3365593,37.26021957
Belgium,1971,3.98582711,4.343628546,3082.927989,8.046759249,44.47034454,41.48145294
Benin,1971,-1.496841826,43.87853954,108.4947186,8.473960622,35.50706482,23.79577637
Burkina Faso,1971,1.413339882,2.06121818,84.5179878,8.310488089,42.08112717,36.57271957
Bangladesh,1971,-5.479483027,57.42799693,127.9954527,8.709198608,33.24285507,26.54829216
Bahrain,1971,1.607142856,5.789473685,1827.689107,8.234285226,43.77953339,37.49070358
"Bahamas, The",1971,1.62650874,4.614971827,3108.954374,8.18665508,45.66735077,39.26922226
Belize,1971,3.959441082,25.07417108,479.9269418,8.13721541,41.42083359,35.09774017
Bermuda,1971,3.437500001,24.79831488,3866.300366,8.045104855,44.6483078,37.7633934
Bolivia,1971,5.063336439,3.674614306,231.3576993,8.086695452,39.93915939,38.63773727
Brazil,1971,11.34292199,-5.418412618,8400.607157,7.411399389,45.48273849,37.18104553
Barbados,1971,3.912722436,7.469255664,770.8860444,8.134722487,42.03659058,38.85480499
Bhutan,1971,2.677100489,29.60150431,214.642191,8.22282425,40.89514923,32.46298981
Botswana,1971,25.82110722,-49.2038554,210.9590897,6.851821019,39.53142929,33.29104996
Central African Republic,1971,1.130202384,34.9411263,95.41896067,8.318799815,38.98099899,27.51869774
Canada,1971,4.018844935,2.704918033,4535.393389,7.992184769,46.05297089,43.11078262
Switzerland,1971,4.075442437,6.573221119,4834.740494,7.97685769,46.34325027,42.98951721
Chile,1971,9.422686211,20.0522312,1089.310862,7.790689503,37.0458374,33.21232224
China,1971,7.059999999,14.73550179,118.654144,7.966652377,36.67798615,37.28211212
Cote d'Ivoire,1971,9.456637662,-0.443745436,277.000411,7.823708142,36.34973526,36.79640579
Cameroon,1971,3.479707817,4.014029618,186.6419299,8.182825942,41.39635849,38.22183609
"Congo, Dem. Rep.",1971,6.005018067,5.777349826,9072.76913,7.706643703,45.84531021,44.17574692
"Congo, Rep.",1971,7.753035853,12.3119743,223.6753157,7.921778771,36.493927,37.91905594
Colombia,1971,5.960727946,11.9402617,365.3459511,8.026031293,38.23150253,37.97025681
Costa Rica,1971,6.778505426,3.083048414,565.2875631,7.972214668,37.95677948,40.03429031
Caribbean small states,1971,2.872512446,28.60847634,755.0313523,8.191614128,41.67955017,33.6245842
Cuba,1971,8.583859012,9.154071089,766.1069507,7.85285032,36.6962471,37.46327972
Germany,1971,3.132699738,5.240974483,3192.133616,8.093491646,45.11198044,40.7719841
Denmark,1971,3.004995574,5.869869591,3845.506089,8.077097627,46.06040192,41.34767532
Dominican Republic,1971,10.87146607,3.580028897,362.2951315,7.735031325,36.62401581,32.51570511
Algeria,1971,-11.33171917,2.626641651,359.8217989,9.061524718,35.50019455,28.71247101
East Asia & Pacific (excluding high income),1971,6.773573611,15.71059531,119.0107021,7.983608388,36.87665939,37.06697464
Early-demographic dividend,1971,5.781024209,4.195298373,226.7482527,8.043860825,38.58082199,38.84847641
East Asia & Pacific,1971,5.279263139,20.66084312,346.6660228,8.063865821,38.86342621,35.24185944
Europe & Central Asia,1971,3.728569443,25.21122152,1550.524295,8.111996615,42.51584244,35.91070175
Ecuador,1971,6.292606196,9.52167078,433.6708481,8.004349836,37.85104752,38.71601105
"Egypt, Arab Rep.",1971,4.057346327,3.140421714,242.1332786,8.14652822,41.04275131,38.78457642
Euro area,1971,3.772924963,5.016319433,2496.499911,8.080710606,43.96508026,40.70771027
Spain,1971,4.649473687,8.236887149,1362.165524,8.068926954,41.75180817,39.12464905
Ethiopia,1971,6.526476163,0.536224282,110.8015746,8.004531676,37.8087883,39.822258
European Union,1971,3.660883082,5.240974483,2123.199393,8.100973723,43.61650467,40.24742889
Fragile and conflict affected situations,1971,7.640254172,12.70220487,213.4524653,7.928831789,36.55183411,37.81869125
Finland,1971,2.356921358,6.475765431,2716.190092,8.156880688,44.6892395,39.15529251
Fiji,1971,6.888986665,9.138193689,460.5006091,7.967850375,37.52001953,39.01760101
France,1971,5.316839076,5.397518656,3180.33744,7.963426869,41.61278152,40.76776123
"Micronesia, Fed. Sts.",1971,2.301575418,30.79266584,359.0255562,8.239826076,40.48764801,31.37099075
Gabon,1971,10.25873091,3.863260897,626.0315808,7.761924677,36.66015625,33.96409607
United Kingdom,1971,3.504717431,9.444837423,2649.801514,8.08996873,44.39263916,40.11368942
Georgia,1971,2.471331794,23.87188126,9489.079863,7.898726999,50.34986877,41.56284714
Ghana,1971,5.216124557,9.558823537,266.4636046,8.074741347,39.50579834,37.66638565
Guinea,1971,5.365818408,20.06928141,836.2564341,8.040950374,39.11888504,35.87159729
"Gambia, The",1971,-0.065877039,3.05622578,102.3827351,8.397924994,40.25373077,34.30610275
Guinea-Bissau,1971,-3.910967458,51.95643586,343.4263313,8.608446968,33.47393417,25.4180088
Greece,1971,7.841177034,3.289470722,1652.325956,7.868998676,37.99839401,40.46525192
Greenland,1971,13.06085135,-6.762403916,1874.295302,7.547354412,39.66788483,31.89511108
Guatemala,1971,5.583754547,-0.453591881,355.0903711,8.05217915,39.14408112,39.33599091
Guyana,1971,3.112850844,28.0083341,395.0811314,8.190453147,41.43955231,33.8395195
High income,1971,3.971150248,23.69851731,2683.14346,8.056475385,43.25578308,37.09806442
"Hong Kong SAR, China",1971,7.29300619,13.3431927,1106.469717,7.916959327,37.48364258,38.2278595
Honduras,1971,3.995003607,2.223247942,254.9258047,8.150025805,41.03020477,38.83011246
Heavily indebted poor countries (HIPC),1971,4.565058075,23.20306097,164.7718593,8.112786488,40.09032822,34.63325882
Haiti,1971,6.480380501,9.579583282,76.11577907,8.006174444,37.39637375,38.57508087
Hungary,1971,6.2,17.3690968,604.8731762,7.999936872,37.76144791,36.89453506
IBRD only,1971,6.115484125,3.863260897,272.9822396,8.022283347,38.05567551,39.23618698
IDA & IBRD total,1971,6.151966646,17.74495243,254.7136431,8.015504395,37.58364487,36.53350449
IDA total,1971,6.375758375,17.03868094,162.7422764,8.005587605,37.22036743,36.68618774
IDA blend,1971,10.61410842,2.592595536,185.9845402,7.753647556,36.38186264,33.2901001
Indonesia,1971,7.023997197,4.233748945,78.86575683,7.975009946,37.37380219,39.67874527
IDA only,1971,2.669962749,29.66262835,153.9130302,8.225453502,40.82344437,32.37809753
India,1971,1.642930375,3.079938684,118.1605289,8.295278975,41.91682816,36.48435211
Ireland,1971,3.469885646,8.961748634,1703.932183,8.12671216,43.27478027,39.21445465
"Iran, Islamic Rep.",1971,13.70158299,4.195298373,469.0835554,7.561933196,38.75616455,29.83526039
Iraq,1971,5.374552534,3.595890411,380.6375126,8.062677245,39.41953278,38.72323227
Iceland,1971,13.06083765,6.73187453,3252.099178,7.497922182,41.18292236,31.5848999
Israel,1971,10.95107097,11.97256816,2284.891878,7.657872085,38.60268402,31.39146996
Italy,1971,1.818107934,4.791664383,2305.609751,8.204496893,44.52599335,38.49266434
Jamaica,1971,2.458073452,5.336179296,816.4077781,8.220504338,42.30986404,37.48398209
Japan,1971,4.698992042,6.395348837,2321.390925,8.03142965,42.49007797,40.18991089
Kenya,1971,22.17389193,3.780206125,149.4640262,7.067678076,43.17304993,29.39294243
Kiribati,1971,-2.290060344,46.48705331,261.0170407,8.515412461,34.47880936,24.16804504
"Korea, Rep.",1971,10.54551355,13.51170233,301.1787367,7.754120959,36.6137619,31.65913773
Kuwait,1971,7.043680959,12.12335454,4518.735948,7.807757268,40.28768539,40.25516891
Latin America & Caribbean (excluding high income),1971,6.975844945,4.313935621,8954.037255,7.65322327,45.29030228,43.19668579
Liberia,1971,4.90483027,22.00810628,227.4439986,8.090380141,39.36015701,34.67961121
Libya,1971,-5.277525025,-3.103849408,2686.070267,8.616488722,35.22962952,37.69677734
Latin America & Caribbean,1971,6.876133157,4.784114382,8965.775028,7.658644051,45.29720688,43.31348801
Least developed countries: UN classification,1971,1.724418115,32.88943922,142.1373137,8.281898913,39.64799881,29.42579842
Low income,1971,4.738752859,16.38580178,9210.88555,7.774174707,46.94443893,43.26885605
Liechtenstein,1971,1.669222005,30.20806846,4874.740686,8.113225994,44.02808762,33.66238022
Sri Lanka,1971,1.306905397,2.665380209,187.2282847,8.312936211,42.0497818,36.34712219
Lower middle income,1971,4.808020437,22.38636635,147.2622834,8.099028644,39.51840973,34.60359955
Low & middle income,1971,6.177547367,17.68585738,208.5147924,8.015667375,37.50505829,36.51910782
Lesotho,1971,5.113717713,21.39097133,72.15944934,8.083646605,38.86159134,34.71203232
Late-demographic dividend,1971,8.510786915,9.670795391,324.2264053,7.8732336,36.37585831,37.60028076
Luxembourg,1971,2.667233586,4.67221498,4435.398008,8.076047858,47.17479324,42.01315308
Morocco,1971,5.596893659,4.155352068,276.5081177,8.053052223,38.92922211,38.7283783
Monaco,1971,5.228060023,12.9720615,13315.97767,7.595703743,49.14117432,44.92348099
Madagascar,1971,3.929365031,5.385881492,175.3548968,8.156020352,41.25932693,38.47789383
Maldives,1971,5.20722636,21.0134119,169.7260006,8.074562058,38.7963028,34.92490005
Middle East & North Africa,1971,10.66788271,4.175325221,451.5507332,7.743775552,36.64455795,32.90455627
Mexico,1971,3.762467685,5.469028994,755.3324884,8.144790533,41.97245789,38.91740417
Marshall Islands,1971,2.309910963,30.75799215,369.4007405,8.238955301,40.50627136,31.40577698
Middle income,1971,6.223000535,17.52751536,214.4023688,8.012760655,37.43044662,36.57166672
Mali,1971,2.568996024,30.06139382,63.25645746,8.234728843,40.56276703,31.93774605
Malta,1971,2.453993612,2.323812158,874.0663356,8.219434514,42.74296188,38.27021408
Myanmar,1971,4.129962445,2.087912088,21.04421976,8.150540145,40.6874733,38.68401718
Middle East & North Africa (excluding high income),1971,6.212169305,3.87562124,359.4955595,8.013346468,37.99506378,39.39294434
Mauritania,1971,1.842886438,32.39627819,290.1938989,8.26950128,39.91317749,29.92080879
Mauritius,1971,4.273563448,0.316344464,299.6048019,8.132257833,40.78111267,39.11924744
Malawi,1971,16.21856363,-21.51574955,7802.405173,7.14357426,45.94664001,37.59647751
Malaysia,1971,10.03466058,1.613035964,402.2149282,7.78407149,36.38874435,34.87080383
North America,1971,3.351698339,3.49884236,5506.272177,7.996374269,48.02567673,43.85279083
New Caledonia,1971,6.999215676,12.92279639,3449.881488,7.849224725,39.60251236,39.75128937
Niger,1971,5.67932064,4.191616766,144.5828376,8.052936408,38.69352722,38.69005966
Nigeria,1971,14.23753156,15.99911485,161.5439014,7.538048636,39.49606705,28.63447762
Nicaragua,1971,3.3047565,21.12026018,9386.82536,7.852945931,49.98791504,43.34012222
Netherlands,1971,4.316980365,7.477678677,3378.614797,8.015360128,44.39962387,41.39769363
Norway,1971,5.673611186,6.223863235,3736.348737,7.921599038,41.38329697,41.32932663
Nepal,1971,-1.195383302,-1.999503845,69.10171858,8.467932165,39.41697311,35.41810226
Nauru,1971,2.89838735,27.27775467,2804.578539,8.115617922,43.65592575,35.71170807
New Zealand,1971,3.785457619,10.38756832,2772.918597,8.068457581,44.3614006,40.28236008
OECD members,1971,3.764328536,6.395348837,2863.540021,8.067460057,44.46582794,40.94052887
Oman,1971,0.898225087,35.52393196,437.0053369,8.320132641,39.11828232,27.23783112
Pakistan,1971,0.468372549,4.730691482,175.19892,8.362916514,41.18284607,34.54971313
Panama,1971,9.616137578,1.919642857,977.4514583,7.787985151,36.82532501,35.95056152
Peru,1971,4.590539928,6.790639365,9247.3578,7.784706975,48.65263748,45.95601654
Philippines,1971,5.389008416,21.40334354,217.9774868,8.063072544,38.51728439,34.99398422
Palau,1971,0.126339925,37.76100709,1082.35724,8.342415337,39.13444901,26.10452461
Papua New Guinea,1971,6.295192567,17.24098592,281.5463284,8.006044284,37.39118958,36.70699692
Pre-demographic dividend,1971,9.430646795,6.628484457,175.9446774,7.824124988,35.99437714,35.45398331
Puerto Rico,1971,6.365448574,15.93300958,2044.319906,7.937837714,38.9603653,38.35118866
Portugal,1971,6.631653,11.94689837,1064.537713,7.9604273,38.09537888,38.74982071
