Year,Country,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Ease_of_Living_Index
1971,Poland,-0.09,0.0265,0.413,0.22636,0.163
1971,Indonesia,-0.828,-0.40489,-1.101,-1.13547,-0.864
1971,India,-0.73,-0.53213,-1.188,-0.75173,-0.844
1972,Greece,-0.709,0.43927,0.525,-0.17561,0.09
1972,Georgia,-0.882,-0.35109,0.276,0.05652,-0.203
1972,United Kingdom,-0.826,-0.3907,0.412,0.4393,-0.094
1972,France,-0.816,-0.38101,0.342,0.19071,-0.151
1972,United States,-0.291,-0.84974,0.26,0.28384,-0.152
1972,South Africa,-0.853,-0.22202,-0.995,-0.82557,-0.741
1972,Hong Kong,-0.872,-0.83595,0.348,0.03172,-0.3
1972,Uruguay,-0.898,-0.55638,0.338,0.31887,-0.197
1972,Kuwait,-0.428,0.134,0.115,0.16383,-0.009
1972,South Korea,-0.923,-0.02471,-0.582,-0.78853,-0.559
1972,Japan,-0.718,-0.25642,0.415,-0.1087,-0.115
1972,Israel,-0.677,0.2564,0.552,0.05714,0.097
1972,Iceland,-0.876,-0.79336,0.519,0.20556,-0.205
1972,Iran,-0.837,-0.50583,-1.175,-0.95464,-0.89
1972,Ireland,-0.841,-0.42694,0.171,-0.0196,-0.26
1972,India,-0.893,0.00174,-1.17,-1.28286,-0.825
1972,Indonesia,-0.892,0.02648,-1.119,-1.1434,-0.78
1972,Hungary,-0.814,-0.2168,0.398,0.32045,-0.07
1972,Italy,-0.864,-0.62486,0.483,0.46807,-0.133
1972,Malaysia,-0.935,-0.59302,-0.119,-0.75613,-0.537
1972,Nicaragua,-0.808,-0.30715,-1.633,-0.87417,-0.981
1972,Netherlands,-0.899,-0.78868,0.446,0.4055,-0.205
1972,Nepal,-0.882,-0.00572,-1.683,-1.28979,-1.004
1972,New Zealand,-0.761,-0.22265,0.427,0.18545,-0.069
1972,Pakistan,-0.87,-0.04382,-1.418,-1.29278,-0.919
1972,Norway,-0.867,-0.63699,0.355,-0.10638,-0.268
1972,Morocco,-0.78,-0.42541,-1.693,-0.87655,-1.025
1972,Mexico,-0.905,-0.10166,-0.824,-0.63442,-0.635
1972,Malta,-0.861,-0.4833,0.195,0.05058,-0.26
1972,Panama,-0.859,-0.36525,-0.096,-0.5778,-0.426
1972,Peru,-0.91,0.08168,-1.43,-1.14289,-0.879
1972,Philippines,-0.898,-0.02292,-0.903,-0.48075,-0.618
1972,Sweden,-0.409,-0.20573,0.872,0.04371,0.158
1972,Syria,-0.793,-0.31214,-0.443,-0.45214,-0.499
1972,Thailand,-0.72,-0.45328,0.045,0.04453,-0.271
1972,Tunisia,-0.833,-0.16753,-0.712,-0.34021,-0.55
1972,Turkey,-0.995,-0.66316,-0.288,0.02844,-0.511
1972,Finland,-0.833,-0.36653,0.177,0.04115,-0.232
1972,Portugal,-0.953,-0.53154,-0.094,-0.87393,-0.535
1972,Qatar,-0.411,0.23903,0.083,0.2314,0.021
1972,Saudi Arabia,-0.761,-0.39512,-1.108,-1.1453,-0.849
1972,Singapore,-0.755,-0.36271,0.141,0.20229,-0.2
1972,Bahrain,-0.811,-0.39821,-0.087,-0.52991,-0.412
1972,Belgium,-0.804,-0.33667,0.469,0.36009,-0.067
1972,Austria,-0.875,-0.57599,0.359,0.1333,-0.217
1972,Australia,-0.858,-0.34754,0.427,0.4029,-0.092
1972,United Arab Emirates,-0.206,-1.41307,-0.55,-0.55951,-0.681
1972,Cyprus,0.38,-0.70742,0.22,-0.59228,-0.094
1972,Jordan,-0.881,-0.54388,-0.536,-0.80588,-0.665
1972,Poland,-0.146,-0.10099,0.45,0.19413,0.125
1972,Brazil,-0.492,-1.18283,-0.434,-0.7149,-0.678
1972,Argentina,-0.306,-0.34153,-0.141,0.03491,-0.206
1972,Egypt,-0.683,-0.82657,-1.212,-0.81989,-0.925
1972,Spain,-0.883,-0.12597,0.323,0.34582,-0.087
1972,Ecuador,-0.909,0.06078,-1.025,-0.42105,-0.634
1972,Denmark,-0.741,-0.27551,0.688,0.79756,0.106
1972,Germany,-0.823,-0.28509,0.441,0.48576,-0.05
1972,Algeria,-0.873,-0.03852,-1.919,-1.29993,-1.095
1972,Colombia,-0.977,-0.85533,-0.327,0.13402,-0.552
1972,Canada,-0.716,0.60655,0.536,-0.24135,0.124
1972,Switzerland,-0.557,0.06456,0.762,0.60612,0.235
1972,Costa Rica,-0.84,-0.49061,-0.184,-0.55478,-0.48
1972,Chile,-0.988,-0.76622,-0.524,-0.81507,-0.744
1972,China,-0.737,-0.27248,-0.571,-0.49256,-0.526
1973,Malta,-0.865,-0.52132,0.208,0.19155,-0.245
1973,Morocco,-0.796,-0.2956,-1.699,-0.8722,-0.998
1973,Mexico,-0.947,-0.40362,-0.793,-0.93598,-0.756
1973,Kuwait,-0.363,-0.30415,0.182,0.38459,-0.045
1973,Georgia,-0.923,-0.4269,0.307,0.48945,-0.157
1973,Greece,-0.959,-0.7251,0.611,0.16677,-0.182
1973,Malaysia,-0.89,-0.33779,-0.367,-0.41001,-0.497
1973,Hong Kong,-0.787,-0.4244,0.409,0.32079,-0.112
1973,Hungary,-0.88,-0.25525,0.416,0.52346,-0.06
1973,South Korea,-0.886,0.2014,0.045,0.07649,-0.144
1973,Indonesia,-1.09,0.89846,-1.089,-0.76959,-0.544
1973,India,-0.932,0.1138,-1.261,-1.05166,-0.804
1973,Ireland,-0.931,-0.51845,0.372,0.41045,-0.171
1973,Iran,-0.909,0.03616,-0.985,-0.30409,-0.609
1973,Iceland,-0.536,-0.60339,0.55,0.37453,-0.036
1973,Israel,-0.792,-0.35577,0.552,0.22999,-0.059
1973,Italy,-0.869,-0.41952,0.446,0.37241,-0.11
1973,Japan,-0.833,-0.47476,0.409,0.47141,-0.113
1973,Sweden,-0.374,-0.17207,0.872,-0.1225,0.15
1973,Syria,-0.637,-0.27159,0.138,0.07278,-0.168
1973,Thailand,-0.918,-0.50994,-0.22,-0.09086,-0.448
1973,Tunisia,-0.869,-0.29887,-0.694,-1.15921,-0.709
1973,Turkey,-0.886,0.01859,-0.699,-0.95833,-0.605
1973,Uruguay,-1.049,-0.47985,0.344,0.2487,-0.225
1973,United States,-0.539,-0.61036,0.259,0.38664,-0.139
1973,South Africa,-0.784,-0.41265,-1.061,-1.00909,-0.822
1973,Nicaragua,-0.849,-0.44411,-1.143,-1.15971,-0.897
1973,Netherlands,-0.854,-0.28578,0.355,0.04663,-0.154
1973,Norway,-0.591,-0.11802,0.483,0.08027,0.004
1973,Nepal,-0.918,0.09247,-1.683,-1.1155,-0.963
1973,New Zealand,-0.846,-0.35355,0.457,0.27072,-0.099
1973,Pakistan,-1.035,0.97711,-1.297,-1.13056,-0.638
1973,Panama,-0.867,-0.42719,-0.002,0.15361,-0.301
1973,Peru,-0.827,-0.31553,-1.423,-0.85628,-0.912
1973,Philippines,-1.029,0.05833,-0.971,-0.6313,-0.677
1973,Portugal,-0.676,-0.43688,-0.125,-0.0716,-0.333
1973,Qatar,-0.544,-0.49609,-0.266,-0.07362,-0.364
1973,United Kingdom,-0.84,-0.66625,0.491,0.42658,-0.141
1973,Saudi Arabia,-0.676,-0.78135,-1.4,-0.86353,-0.984
1973,Singapore,-0.904,-0.52092,0.346,0.35855,-0.181
1973,France,-0.77,-0.26675,0.366,-0.00488,-0.132
1973,Brazil,-0.496,-1.24721,-0.552,-0.72735,-0.738
1973,Bahrain,-0.629,-0.45468,-0.174,-0.01579,-0.334
1973,Belgium,-0.695,-0.0337,0.488,-0.09765,-0.026
1973,Austria,-0.831,-0.42826,0.456,0.5211,-0.077
1973,Australia,-0.749,-0.24423,0.481,0.15152,-0.057
1973,Argentina,-0.317,-0.07731,0.041,0.32429,-0.036
1973,United Arab Emirates,-0.132,-1.39481,-0.507,-0.50193,-0.634
1973,Poland,-0.075,-0.23298,0.457,0.23906,0.119
1973,Jordan,-0.886,-0.24658,-0.607,-0.80211,-0.616
1973,Cyprus,0.447,-0.43066,0.171,-0.52998,-0.016
1973,Finland,-0.872,-0.5635,0.238,0.13639,-0.255
1973,Egypt,-0.873,-0.09949,-1.224,-1.2957,-0.866
1973,Ecuador,-0.854,-0.14724,-0.934,-0.636,-0.673
1973,Algeria,-0.89,0.00099,-1.925,-1.29766,-1.091
1973,Denmark,-0.664,0.08413,0.585,0.33547,0.11
1973,Canada,-0.692,-0.33073,0.707,0.24647,0.029
1973,Switzerland,-0.379,-0.48806,0.501,-0.01605,-0.044
1973,Chile,-0.618,-0.44591,-0.113,0.07772,-0.294
1973,China,-0.839,-0.21426,-0.601,-0.80438,-0.594
1973,Colombia,-0.995,-0.55479,-0.345,0.1351,-0.488
1973,Costa Rica,-0.952,-0.50523,0.103,0.10862,-0.312
1973,Spain,-0.942,-0.64284,0.244,0.25566,-0.272
1973,Germany,-0.741,0.02563,0.232,0.26387,-0.058
1974,Morocco,-0.936,0.11918,-1.656,-1.12604,-0.953
1974,Mexico,-1.015,-1.15244,-0.683,-1.08993,-0.944
1974,Malaysia,-0.987,-0.73507,-0.073,-0.47195,-0.527
1974,Malta,-0.811,-0.45399,0.262,0.06015,-0.216
1974,Indonesia,-0.977,0.23183,-1.052,-0.68198,-0.657
1974,India,-1.03,0.86278,-1.224,-1.10801,-0.636
1974,Ireland,-0.821,-0.14516,0.208,0.34584,-0.117
1974,Iran,-0.888,0.03022,-1.095,-0.96141,-0.742
1974,Iceland,-0.453,-0.07009,0.562,-0.02949,0.062
1974,Israel,-0.522,-0.41192,0.361,0.19374,-0.078
1974,Italy,-0.812,-0.1852,0.44,0.43317,-0.03
1974,Japan,-0.59,0.13378,0.445,0.23394,0.077
1974,Hungary,-0.749,-0.39409,0.398,-0.04309,-0.153
1974,South Korea,-1.08,-0.51483,0.088,-0.11017,-0.384
1974,Hong Kong,-0.636,-0.50042,0.585,0.2508,-0.042
1974,Kuwait,0.225,-0.75422,0.207,0.0845,-0.047
1974,Pakistan,-1.0,0.57213,-1.418,-1.13263,-0.773
1974,Sweden,-0.437,-0.11303,0.884,-0.03693,0.166
1974,Syria,-0.896,-0.49179,-0.149,-0.20977,-0.431
1974,Thailand,-0.987,-0.68727,-0.101,-0.18941,-0.482
1974,Tunisia,-0.984,-0.73732,-0.36,-0.00548,-0.557
1974,Turkey,-0.993,-0.99258,-0.638,-1.02657,-0.874
1974,Uruguay,-0.98,-0.46818,0.338,0.32499,-0.195
1974,United States,-0.667,-0.27994,0.236,0.20603,-0.123
1974,South Africa,-0.897,-0.01245,-1.215,-1.32383,-0.851
1974,Nicaragua,-0.764,-0.49914,-1.162,-1.0458,-0.879
1974,Netherlands,-0.724,-0.53122,0.308,0.32685,-0.157
1974,Norway,-0.714,0.09091,0.575,0.10007,0.06
1974,Nepal,-0.959,0.18541,-1.671,-1.11417,-0.945
1974,New Zealand,-0.833,-0.40499,0.44,0.51021,-0.079
1974,Panama,-0.983,-0.75331,-0.382,-0.09634,-0.582
1974,Peru,-0.76,-0.3934,-1.314,-0.93788,-0.889
1974,Philippines,-0.928,0.10488,-0.97,-0.33141,-0.595
1974,Portugal,-0.923,-0.52362,0.096,-0.18574,-0.356
1974,Qatar,0.305,-0.43885,-0.118,0.04349,-0.068
1974,Saudi Arabia,-0.354,-1.07679,-1.296,-0.84226,-0.938
1974,Greece,-0.715,-0.31234,0.751,0.21329,0.038
1974,Singapore,-0.925,-0.53667,0.408,0.54264,-0.141
1974,Brazil,-0.555,-0.67847,-0.42,-0.6897,-0.559
1974,Bahrain,-0.732,-0.21391,-0.05,-0.15044,-0.277
1974,Belgium,-0.462,-0.41822,0.5,0.18236,-0.018
1974,Austria,-0.835,-0.47339,0.456,0.50329,-0.092
1974,Australia,-0.437,-0.30206,0.512,0.37671,0.051
1974,Argentina,-0.413,-0.19308,-0.08,0.02496,-0.176
1974,United Arab Emirates,0.459,-0.62345,-0.092,-0.07312,-0.084
1974,Jordan,-0.956,-0.5535,-0.259,-0.01401,-0.47
1974,Cyprus,0.228,-1.31093,-1.282,-0.36066,-0.774
1974,Canada,-0.675,-0.05869,0.713,0.31739,0.114
1974,Poland,-0.233,0.16923,0.47,0.1894,0.177
1974,Chile,-0.872,-0.55954,-0.235,-0.53704,-0.521
1974,Switzerland,-0.359,-0.48927,0.684,0.40079,0.087
1974,Georgia,-0.954,-0.46279,0.301,0.46006,-0.18
1974,United Kingdom,-0.718,0.43098,0.528,-0.13384,0.093
1974,France,-0.623,0.26265,0.451,-0.18307,0.04
1974,Finland,-0.462,-0.1851,0.232,0.37607,-0.024
1974,Egypt,-0.868,-0.12974,-1.199,-1.3176,-0.867
1974,Ecuador,-0.996,-0.85919,-0.536,-0.87414,-0.783
1974,Spain,-0.874,-0.66155,0.25,-0.0468,-0.303
1974,China,-0.699,-0.80442,-0.583,-0.55979,-0.664
1974,Costa Rica,-0.903,-0.55706,0.097,-0.26939,-0.371
1974,Colombia,-0.996,-0.56769,-0.344,0.11881,-0.494
1974,Denmark,-0.303,-0.28749,0.597,0.27723,0.103
1974,Algeria,-0.812,-0.28388,-1.925,-0.87417,-1.079
1974,Germany,-0.554,0.00866,0.515,0.40856,0.105
1975,Morocco,-0.97,0.27372,-1.613,-1.11862,-0.906
1975,Mexico,-0.932,0.06327,-0.62,-0.90973,-0.571
1975,Malta,-0.814,-0.26349,0.287,0.10293,-0.153
1975,Malaysia,-0.557,-0.89155,-0.58,-0.6861,-0.668
1975,Nicaragua,-0.88,-0.07054,-1.18,-1.30788,-0.847
1975,Netherlands,-0.687,0.08198,0.477,0.08294,0.028
1975,Norway,-0.413,-0.15462,0.593,0.32257,0.114
1975,Hungary,-0.856,-0.17668,0.398,0.3392,-0.068
1975,Indonesia,-0.958,0.18541,-1.382,-1.11417,-0.844
1975,India,-0.969,0.27881,-1.145,-1.01141,-0.725
1975,Ireland,-0.857,-0.79745,0.509,0.00128,-0.235
1975,Iran,-0.979,-0.15044,-0.978,-0.60495,-0.715
1975,Iceland,-0.41,-0.37107,0.624,0.59377,0.112
1975,Israel,-0.531,-0.66011,0.485,0.26071,-0.089
1975,Italy,-0.637,-0.14205,0.44,0.13572,-0.02
1975,Japan,-0.712,0.12905,0.494,-0.3162,-0.02
1975,South Korea,-1.078,-0.51572,0.119,-0.1245,-0.375
1975,Kuwait,0.098,-0.65806,0.219,0.02556,-0.06
1975,Nepal,-0.905,0.07768,-1.718,-1.18645,-0.986
1975,New Zealand,-0.653,-0.2707,0.496,0.32641,-0.008
1975,Sweden,-0.355,-0.0454,0.866,0.33718,0.254
1975,Singapore,-0.433,-0.35396,0.237,0.39154,-0.055
1975,Saudi Arabia,-0.105,-1.21475,-1.263,-0.7173,-0.88
1975,Qatar,0.308,-0.13907,0.339,0.21316,0.193
1975,Portugal,-0.778,-0.44332,-0.093,-0.61971,-0.431
1975,Philippines,-0.897,0.02985,-1.137,-1.20155,-0.795
1975,Peru,-0.82,-0.4835,-1.215,-0.89612,-0.886
1975,Pakistan,-0.938,0.16611,-1.296,-1.1544,-0.82
1975,Panama,-0.889,-0.54125,-0.503,-0.65823,-0.632
1975,South Africa,-0.965,0.11543,-1.013,-0.50823,-0.643
1975,United States,-0.492,0.00488,0.558,0.03267,0.078
1975,Uruguay,-0.985,-0.45212,0.345,0.32104,-0.19
1975,Turkey,-1.06,0.95222,-1.187,-1.08468,-0.605
1975,Tunisia,-0.903,0.05798,-1.175,-1.17939,-0.799
1975,Thailand,-0.896,-0.42886,-0.232,-0.14591,-0.434
1975,Syria,-0.837,-0.14552,-0.617,-0.54561,-0.543
1975,Hong Kong,-0.547,-0.58615,0.347,-0.00432,-0.162
1975,Belgium,-0.241,-0.08444,0.518,0.02807,0.104
1975,Bahrain,-0.602,-0.66481,-0.186,0.08534,-0.369
1975,Brazil,-0.542,-0.81309,-0.432,-0.70711,-0.596
1975,Canada,-0.626,-0.25679,0.737,0.42476,0.101
1975,Switzerland,0.122,-0.27446,0.697,0.69371,0.31
1975,Austria,-0.733,-0.11857,0.166,0.21514,-0.123
1975,Argentina,-0.325,-0.41798,0.304,-0.24595,-0.116
1975,Poland,-0.061,-0.24662,0.444,0.2045,0.109
1975,Jordan,-0.874,-0.01906,-0.271,-0.19962,-0.348
1975,United Arab Emirates,0.716,-0.73299,-0.092,-0.06271,-0.046
1975,Australia,-0.649,0.01497,0.621,0.35799,0.113
1975,Chile,-0.451,-0.2789,-0.069,-0.06964,-0.217
1975,Cyprus,-0.758,-0.53124,0.244,0.07453,-0.226
1975,Finland,-0.329,-0.12088,0.521,-0.06364,0.06
1975,France,-0.542,-0.50918,0.482,0.20973,-0.063
1975,United Kingdom,-0.608,-0.14893,0.619,0.47662,0.099
1975,Greece,-0.859,-0.56668,0.751,0.30228,-0.048
1975,China,-0.846,-0.26557,-0.564,-0.53462,-0.555
1975,Spain,-0.789,-0.4098,0.451,0.44847,-0.075
1975,Georgia,-0.962,-0.35983,0.393,0.44405,-0.126
1975,Ecuador,-0.913,-0.0146,-0.753,-0.70394,-0.601
1975,Colombia,-1.013,-1.52105,-0.234,0.08016,-0.703
1975,Egypt,-0.973,0.27084,-1.161,-1.04697,-0.739
1975,Costa Rica,-0.955,-0.52262,0.128,0.0713,-0.314
1975,Denmark,-0.118,-0.05444,0.744,0.24322,0.254
1975,Algeria,-0.86,-0.11778,-1.925,-1.04642,-1.075
1975,Germany,-0.401,0.00586,0.226,0.31859,0.028
1976,Mexico,-0.958,-0.25357,-0.569,-0.74236,-0.613
1976,Morocco,-0.916,0.08158,-1.583,-1.1155,-0.93
1976,Malaysia,-0.787,-0.65748,-0.085,0.01714,-0.388
1976,Nicaragua,-0.852,-0.58536,-1.2,-1.07977,-0.941
1976,Netherlands,-0.464,-0.25727,0.526,0.47516,0.075
1976,Norway,-0.499,-0.21416,0.624,0.50856,0.116
1976,Nepal,-0.673,-0.78433,-1.658,-0.86272,-1.074
1976,Malta,-0.723,-0.40865,0.25,-0.04789,-0.203
1976,New Zealand,-0.675,-0.25066,0.172,-0.0586,-0.18
1976,Indonesia,-1.001,0.56954,-1.18,-1.10223,-0.686
1976,India,-0.581,-0.8723,-1.218,-0.78005,-0.907
1976,Ireland,-0.811,-0.33221,0.188,0.17208,-0.194
1976,Iran,-0.683,-0.77858,-1.369,-0.86353,-0.974
1976,Iceland,-0.34,-0.26298,0.757,0.1691,0.14
1976,Israel,-0.698,-0.57713,0.702,0.05089,-0.065
1976,Italy,-0.693,-0.5289,0.616,0.48562,-0.017
1976,Japan,-0.861,-0.74016,0.506,0.20698,-0.192
1976,South Korea,-0.804,-0.56546,-0.558,-0.71723,-0.645
1976,Kuwait,0.319,-0.50522,0.279,0.01469,0.053
1976,Syria,-0.825,-0.3143,0.101,-0.09794,-0.264
1976,Thailand,-0.898,-0.2541,-0.583,-0.57606,-0.578
1976,Tunisia,-0.946,-0.42066,-0.582,-0.91142,-0.682
1976,Turkey,-0.938,0.18793,-0.613,-0.90399,-0.538
1976,Uruguay,-0.982,-0.46049,0.345,0.32331,-0.191
1976,United States,0.002,0.0359,0.649,0.22278,0.27
1976,South Africa,-0.954,0.19565,-1.134,-0.93055,-0.726
1976,Sweden,0.077,-0.25862,0.866,0.23083,0.292
1976,Pakistan,-0.903,0.05016,-1.266,-1.11728,-0.824
1976,Panama,-0.767,-0.34013,-0.056,-0.35994,-0.35
