Control_of_Corruption,Government_Effectiveness,Political_Stability,Regulatory_Quality,Rule_of_Law,Voice_and_Accountability
0.261614025,0.449057072,0.264631718,-1.316698909,0.96063441,1.100432992
-0.819709837,0.556376994,0.015247292,0.165954933,-0.217798144,-0.710006773
0.869897187,0.033526257,0.597966731,1.305004478,-0.021942498,0.061734978
-1.053341627,-0.452226609,-1.868080497,-0.430167496,-0.794187605,-0.219651893
-0.378244728,-1.149679661,-1.845332384,-0.38403827,-1.334303737,-1.69936955
-0.026595131,0.300448269,1.321788192,-0.536516249,0.038801968,1.022684455
0.401667178,0.410245925,-1.041991234,0.016247209,0.268791258,0.325054944
-0.163303331,-0.183629289,-0.189457834,-0.308262527,0.114562631,0.277819812
-0.986315608,0.076242514,-0.601866663,-0.129939035,-1.455036402,-0.292217821
-1.140071511,-1.06467998,-2.668016195,-0.717159688,-1.262493134,-1.2158041
0.545951545,0.644922495,1.034585953,0.681275368,0.599600136,0.59489274
-0.756474376,-1.409645319,-0.278813034,-1.444834471,-1.381991386,-0.587721765
2.262733698,1.993047118,0.345115304,2.177225828,1.558843374,0.139815584
0.21805428,1.044313669,0.878931701,0.672422051,0.517324984,1.004412174
1.114187837,0.887160182,0.399723917,1.09056139,1.068722963,1.275352716
-1.273832083,-1.959855437,-2.509366512,-2.352025032,-2.144657373,-1.892187953
0.203808978,1.020495892,-0.379187554,0.515013754,0.087929197,0.841138542
1.129211187,0.652145922,0.17475751,1.184066415,0.972676516,1.319526911
-0.056539331,-0.183629289,-1.778298974,0.064729966,0.161260232,-0.269144207
-1.240006447,-0.987331033,-2.479532003,-1.360586405,-1.708835721,-1.858700871
0.185647145,-0.688587904,0.175346196,-0.543357134,-0.080992602,-0.091421932
2.173986197,1.921916842,0.667080104,1.319948554,1.795861244,1.518390656
1.895287037,1.757080555,1.456821561,1.55765903,1.931551933,1.424485087
-0.881176233,-0.932882547,-0.069100976,-1.072738409,-0.546156049,-0.853539109
0.580821037,0.553475261,1.056969166,0.905649722,0.7597,0.606116414
-1.428293705,-1.406051278,-2.11674881,-1.521551132,-1.138877034,-1.645832658
-0.702762425,-0.195578113,-1.635101199,-0.442145348,-0.186238185,-0.641581655
-0.361192048,-0.065325461,0.46679911,0.05726935,0.539628804,0.33616522
-0.84262079,-0.688587904,-0.376152635,-0.391079694,-0.73124963,-0.986241639
0.901226282,-0.104411051,0.273877174,0.601998389,0.534295142,0.687231183
-0.533678114,0.375723422,0.262547046,0.14170894,-0.107689194,-0.599355578
-0.148073524,-0.076127216,-1.258745909,0.103578582,-0.13879478,-0.117616765
-1.021493435,-1.149679661,0.449250609,-1.376553655,-1.487391114,-1.577282786
-0.20552519,-0.687850118,-1.530943632,-0.025424255,-0.580390334,-0.891807199
-1.110136986,-0.670080245,-0.152148813,-0.41892156,-0.823546648,-0.324850231
-0.005579059,-0.812407911,0.964015007,-0.815379918,0.688413978,-0.409403622
1.980518937,1.882196069,0.981364369,2.020524979,1.62873435,1.272319436
1.817630172,1.524920464,0.935005784,1.593101859,1.9619627,1.420018077
1.124996305,0.584609449,0.998592257,0.84024322,0.561770856,0.797379553
-1.128820658,-1.154041409,-0.543731749,-0.837622762,-1.447080135,-1.600370407
-0.979341567,-0.54071331,-0.584048212,-0.308690518,-0.750197589,-1.21988368
-0.489798933,-0.580875695,0.525695503,-0.602832019,-0.649538219,-1.087494493
-1.110609293,-1.064426422,-1.405726075,-1.131253242,-0.039659597,-0.75876075
-0.743732214,-0.624154627,-0.804575801,-0.439127803,-1.379763603,-0.681765139
2.009313822,1.452599764,-0.1599489,0.582346559,-0.218955487,-0.334019482
-0.278847158,-0.318770558,-0.466122419,-0.107558236,-0.814238489,-0.611550152
-1.176012278,-2.102291822,-2.427354574,-2.062872171,-1.734886765,-2.039301157
-0.992024779,-0.732602537,-0.576708913,-0.441555828,-0.929671705,-0.76457721
0.012301577,-0.123509347,-2.139077425,-0.881358743,-1.198362112,-0.294657081
1.334758759,1.597302556,1.182875156,1.245862126,1.177253962,1.528759122
-1.180450678,-1.055107117,-2.173201084,-1.373449683,-1.527338624,-2.033548832
0.883366406,0.652145922,0.728511989,0.77318567,1.053563118,0.339321405
-0.2034816,0.328712493,-0.13464959,0.137224212,-0.038881578,-0.321172208
-0.936306059,-0.546766698,-0.662787318,-0.252395779,-0.380856782,-0.33551845
1.798129678,1.731752515,1.06650126,1.733826637,1.756802797,1.407491207
1.357538223,1.803506255,0.331102103,1.346461296,1.803287983,0.783710897
-0.550964773,-0.933607459,-0.702288449,-1.046715021,-0.227835923,-1.022841215
1.295374155,1.264248252,1.087325573,1.012163877,1.258561134,1.157476664
0.250788927,1.02662456,0.431097239,0.935711622,0.35234648,-1.065402746
-0.773010969,-0.998445451,-1.860711932,-1.049343109,0.413401127,-0.085569881
1.541047335,1.403356314,1.084265828,1.284730434,1.232990623,1.379186034
-0.323169857,-0.546766698,0.10947556,-1.495453,-1.159012079,-0.772695839
1.313234091,1.770154357,1.024129868,1.005810738,1.91915679,1.342847466
0.13220188,0.401742518,0.596629977,0.195513546,-0.175930172,0.881688356
0.604154706,-0.349467725,0.742279053,-0.157630756,0.050550632,0.425980747
1.334758759,1.15295279,0.728511989,1.482200265,1.209021807,1.166620493
0.883640766,0.652145922,0.539632082,-0.408505082,0.038308375,-1.098304272
-0.442392319,-0.097585991,-0.241092369,0.167925507,-0.22726056,-1.88721025
-0.402136475,-1.20836997,-0.58641547,-1.030670643,-0.671884239,-1.690061092
-0.826058447,-0.403887659,0.955491304,-0.417710304,0.688569546,0.749341488
0.041475326,-0.134330869,-0.339505792,0.327298194,-0.202992082,0.332852572
-0.159897983,0.892576635,-0.069941163,0.892312944,0.118389398,-0.723196626
-0.41075328,1.518254638,0.57502526,0.18892239,-0.222114488,0.437017411
-0.743732214,-0.918438375,-1.67229104,-0.230121166,-0.912859261,-0.396195322
-0.681749761,-0.394115418,-0.057209238,-1.575171113,-0.791886449,-0.46736899
-0.988311708,-0.874252379,-1.264929175,-0.1639525,-1.17863512,-0.815465987
-1.313288569,-0.826229513,-0.784960151,-0.90652889,-1.138637066,-1.660208344
2.034210443,1.877301693,0.950881243,1.53667593,1.762171507,1.55141294
1.334758759,1.904163122,0.728511989,-0.325082302,0.873276591,0.603064239
-1.101030469,-1.351081371,-0.937743247,-0.881181359,-1.166547298,-0.377719432
-1.336608768,-1.174897552,-1.306433678,-1.200929642,-1.190580368,-0.972022057
1.297507286,1.986991048,0.033281282,1.082827806,1.097601771,0.619043708
-0.517446935,-0.198783293,0.360115409,-0.267708391,-0.476805359,-0.971218228
-0.523701608,-0.325808048,-1.793921709,-0.168177813,-0.662920475,-0.588405192
-1.015081167,-0.248135597,0.564976454,-0.684840024,-0.881385922,-0.300323874
-0.649519384,-1.731027842,-2.847851753,-1.188309073,-1.680826664,-1.049738765
-1.198796749,-1.540203929,-1.50108397,-1.303277254,-1.618808627,-1.655455112
0.993910909,0.916933775,0.41943416,0.922752976,0.920009971,1.142669201
-0.497031659,-0.233207598,0.052347746,-0.285964251,-0.625909269,-0.63867718
-0.586468279,0.038035642,0.067885965,-0.14538075,-0.290129393,-0.292461693
0.34461689,-0.243914962,0.007875389,-1.315618515,-0.430538148,-1.584772944
1.061723828,1.19583571,0.222172737,1.155306935,0.945576549,0.983076632
0.522349358,0.585556746,0.993218184,0.916880608,0.847438395,1.167382121
1.269663095,1.910748959,1.431966305,1.230373263,0.957083583,1.020233631
-0.68233043,-0.850274563,-0.964446723,-0.893703401,-0.909501016,-0.994008064
1.54939878,1.051133513,0.728511989,1.234668493,0.843007863,1.094591856
-0.453665733,-0.526742637,-0.416316986,-0.400296509,-0.774425447,0.093083277
-0.791844785,-0.35470736,1.369434714,-0.064743273,-0.240807325,0.244709224
-0.477870136,-0.204747275,-0.020769719,-0.17098929,-0.535113275,0.597427487
1.33278954,0.834164917,0.090679064,0.078462645,-0.319455385,0.642764986
-1.187924623,-1.041311145,-0.339192003,-1.119567871,-1.352814674,-1.561029911
-1.325013876,-1.100677967,-0.970755875,-1.117519617,-0.63481617,-1.231638193
-0.352394611,0.495435953,-0.313469648,-0.015001387,0.93091917,1.03417027
0.054523781,-0.669115603,-0.005001639,-0.178727999,-0.662509441,-1.236201644
-0.903203785,-1.190728784,-0.63226676,-1.090546489,-0.908676982,-0.989250898
0.663797557,0.367220342,0.856274605,0.321675181,0.343518049,0.688429117
2.186052084,1.949857116,1.473387837,1.761387587,1.952075005,1.467298269
0.299411148,1.45350337,0.784178674,0.608042121,1.695256948,1.171781659
-0.024551125,0.902549386,0.046967462,1.009523869,0.957083583,0.515573442
-0.402063727,-0.462085247,0.325020939,0.335129142,-0.370705366,-0.391127527
-0.364895523,-1.280481458,0.675648868,-0.690857768,-0.265588671,0.402202278
-0.982505977,-0.653969824,-1.638902903,-0.701988518,-1.218148708,-0.385090172
1.997946858,1.812501669,1.242147803,1.231304526,1.510085225,1.291888475
0.115431219,-0.219085738,-0.136477411,-0.220613942,-0.862899542,-0.971218228
0.69083339,0.867235363,0.771396816,-0.348364651,0.77567035,1.103217363
0.883366406,0.652145922,0.954443455,0.536847532,0.502903223,0.724685133
-0.866168261,-0.35470736,-0.669719815,-0.154734895,-1.041270375,-0.195095882
-1.075009942,-0.849191964,-1.844076514,-0.809338331,-1.391768932,-1.110450149
-0.175137788,-0.211272329,-1.860767245,-1.219323277,-0.598636866,0.262788713
-0.352434874,-0.036602434,0.12336912,-0.055722591,-0.367153853,0.390771747
-1.32529211,-1.173520446,1.144098997,-0.954480052,-0.800446093,-0.614243031
-1.015081167,-0.611828744,0.307008684,-0.257835358,-0.885578394,-0.02243376
1.30338192,1.096901536,1.035769463,0.932680726,0.984140694,-0.106265157
1.061878324,0.936182857,0.676284015,0.960597098,0.813627005,1.070460796
1.665460467,1.84430778,1.377105355,1.300396681,1.659660578,1.373611093
0.261637181,-0.114457399,-0.555381477,-0.443266034,0.335014313,0.391242564
-1.160076976,-0.900729418,-1.731670618,-0.148958758,-0.750535488,-1.024469733
-0.460588485,-0.490328997,-0.693391085,-0.78047353,-0.683586836,-1.680547476
-1.422613263,-1.919372201,-1.533800006,-2.204963207,-2.406163454,-1.94254303
1.545052171,1.736843228,1.402106047,1.638005257,1.910381198,1.425650001
0.759357512,1.040769339,-1.12271452,1.049242854,0.993849754,0.619312763
0.490962476,0.829069972,1.192702293,1.117751122,0.801862299,1.0639745
0.139225751,0.224192709,0.083308145,0.220633313,0.190566957,0.727634013
1.065931201,1.016816854,1.247674823,0.554549456,1.348525167,0.825763941
0.112761945,0.084935077,0.07521262,0.339472294,0.300132543,-0.420019746
-1.07885468,-0.868950129,1.322361231,-0.410246044,-1.113345981,-0.870825171
-0.689300656,-0.490328997,-0.907693863,-0.589609206,-1.028106928,-0.866834044
-1.560569406,-1.91686368,-1.417437673,-2.129036188,-1.09687674,-2.067680836
0.29720825,0.290556639,0.513872743,0.317185104,0.778700531,-1.351682901
0.562503397,-0.083464123,0.572325528,0.094623871,-0.514893711,-0.299082875
-1.058797121,-0.349467725,-0.166477472,-0.188530892,-0.795788229,-0.808966398
-0.689512551,-0.599871159,-0.191821799,-1.133914113,-0.541016102,-1.306518674
0.144059569,0.187779129,0.0337703,0.634848475,-0.789211392,0.000331484
-0.264330655,0.023913778,-0.752315283,-0.497554004,-0.41389513,-0.399467558
-0.110705473,-0.09906432,-0.118997246,-0.29883337,0.167446434,-0.434724659
-1.536518455,-1.731027842,-2.370088816,-1.749775052,-1.802050948,-0.892448485
-0.907352805,-0.933607459,-0.809740365,-1.890991569,-1.118726015,-1.679156423
1.334758759,1.491493106,1.182875156,1.482200265,1.47467351,1.528759122
0.301575392,-0.108668253,0.734907329,0.91604811,0.552288771,0.333465695
1.88688314,1.832813621,1.385318875,1.491168499,1.763727546,1.524928689
0.431974202,0.401742518,0.274148971,0.536847532,0.201268852,0.298557758
-0.952820063,-0.546766698,0.196962193,-0.296521306,-0.37104407,-0.934311152
-0.302766591,-0.045844205,-0.069941163,-0.114554696,-0.42472738,0.06455116
0.363078088,0.754812837,-0.038123466,0.702356517,0.28235504,-0.42195484
-0.288014978,0.902549386,0.122316822,1.009523869,-0.17673704,-0.674291372
-0.818972707,-1.173520446,-0.925459146,-0.314075172,-0.227835923,-0.067682624
0.52776742,0.892576635,1.027120113,1.012163877,1.26121223,0.746175408
0.883366406,0.902549386,0.274148971,1.009523869,0.843659341,1.014470935
-0.489461154,0.170649603,0.352811933,-0.452446401,-0.23170203,-0.711399913
0.221581787,0.323917389,0.990649343,0.127370343,1.017152309,1.007172227
-0.389923036,-0.15843907,-0.263379753,0.391958714,-0.533191502,0.062786311
0.182221666,-0.3405855,0.389240354,0.242604271,-0.063543558,0.089800134
0.110406369,0.093242049,0.35268867,-0.161171496,0.161260232,0.559471786
0.103345759,0.023913778,0.10663145,0.024582447,0.129340261,-0.243397817
-0.390381545,-0.495324761,0.111920342,-0.002527024,-0.832234144,-0.16156669
-0.352239668,-1.190728784,-1.485985518,-1.597211242,-0.891145051,-1.918437123
0.735702813,0.295157015,0.505568922,1.677312016,0.178116381,0.330687076
-0.595585644,-0.349467725,-0.730146408,-0.668974459,-0.808564723,-0.193280414
2.089596987,2.004210949,1.277439713,1.862751842,1.944033504,1.562134027
2.148452997,1.628706098,1.227339864,1.956304312,1.74962914,1.557806134
-0.959317148,-0.662364185,-0.576708913,-0.236152813,-0.605091035,-0.138752609
-1.073254228,-0.958404481,-0.497683495,-0.743582249,-0.683503091,-1.29401505
-1.199409604,-1.119764566,-0.588243723,-1.25671804,-1.189121246,-1.080581784
-0.636419594,-0.724588931,-0.712693691,-0.365546852,-0.331668794,-0.086383142
2.162262917,1.912079573,1.439661264,1.407007694,1.949824214,1.586438179
0.724727273,0.416656792,0.854953349,-0.05380195,1.590986013,-0.886453092
-1.080915213,-0.490328997,-0.99791199,-0.648276091,-0.394623488,-0.801567316
-0.139865473,0.359814346,0.801905751,0.178615317,-0.130363435,0.511523187
-0.698877692,-0.476207078,-0.519264638,-0.396506131,-0.517511368,0.075129718
-0.885469437,-1.055107117,0.197749898,0.027994607,-0.270433575,-0.251117051
-0.433163524,0.072110459,-0.733945012,-0.040483929,-0.738637686,-0.638316989
-0.38195014,-0.036878657,-0.257059157,0.2409807,0.027259612,0.419711262
0.484606415,0.838279903,1.189666033,0.616440833,0.798767924,1.087616324
0.574014664,1.111658931,1.369090557,1.085837483,1.242640018,1.134971619
0.431974202,1.15295279,1.180254579,1.245862126,0.957083583,1.127611399
0.025880625,0.002156443,0.646906972,0.04816629,0.172034457,-0.776588619
-0.649806619,-0.197672158,-0.250032127,0.211220115,-0.110562637,0.389990568
-0.954373538,-0.109467715,-1.089740992,-0.507687986,-0.479586214,-0.013819259
-0.72986114,-1.100677967,-0.998601556,-1.354542613,-1.460957766,-1.411473036
-0.019418102,0.401742518,1.343910575,0.127370343,0.959765494,0.674378455
-1.225612164,-0.369537503,-1.2779845,-0.644843221,-0.906720698,0.514014363
-0.501664221,-0.219085738,0.110229097,-0.28582713,-0.465154022,-1.617568731
-0.122646809,-0.148121446,-0.641925931,-0.167377383,0.068834841,0.029125068
-0.820174932,-0.883071959,-2.142448664,-0.822418809,-1.093928218,-0.198110342
0.570708156,0.652145922,0.614759147,0.946032047,0.620563447,0.237802729
-0.724983811,-1.545192122,-2.173201084,-1.425967336,-1.630184054,-1.203704953
2.057286263,2.07239747,0.930101573,1.611778617,0.857321024,0.112500772
0.993910909,0.702901244,1.180254579,1.140559673,1.006099105,0.710790992
1.162774801,0.752557337,1.131863952,1.049601316,1.177163124,1.204610944
-1.622491598,-1.91686368,-2.287201405,-2.182574749,-2.136153221,-1.817961335
0.195867643,0.624708474,-0.546053231,0.50777036,0.157686293,0.84697777
1.355995536,1.597302556,0.285476923,1.196217299,1.30619204,1.299594522
-0.083364762,-0.462085247,-1.48284018,0.155283034,0.064277157,-0.150950506
-1.119794726,-1.510329127,-2.259968281,-1.298493385,-1.670088053,-1.811389208
0.25451383,0.083608709,0.599269092,-0.531463504,-0.004134504,0.170819804
2.173986197,1.884492755,0.667080104,1.727414131,1.751435757,1.536840677
2.051917791,1.906915069,1.439661264,1.641245961,1.927548409,1.412886262
-0.914689541,-0.663388073,-0.501324236,-1.245785713,-0.537084103,-1.702851176
0.583797514,0.804550529,0.957362711,1.014562726,0.741965652,0.7658813
-1.252360582,-1.351081371,-0.69907409,-1.465714335,-1.275882244,-1.505258083
-0.439453065,-0.554986298,-0.408068776,-0.435356438,0.593708754,0.057646669
-0.12089359,0.03581414,0.638839483,-0.005294391,0.509335399,0.382473677
-0.831447601,-0.987684667,-0.864391387,-0.674632609,-0.75963217,-1.124888897
-0.570128739,0.210070848,0.412275732,-0.090854593,-0.283465952,0.839022398
-0.433107793,-0.006283537,0.263467073,0.134595618,-0.319455385,-0.823301256
-0.354077637,-0.332664609,-1.231111765,-0.414853543,-0.542661846,-0.615934074
