LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
,100.0,,0.751,0.209
78.7602439,100.0,,,0.174
,,0.921,0.797,
77.4195122,100.0,,0.789,0.205
70.316,,0.828,,0.656
79.0802439,100.0,0.954,0.85,0.164
,99.94221497,0.903,0.754,0.28
75.691,100.0,0.929,0.678,0.578
68.39609756,,1.016,0.706,0.413
63.401,49.2,0.727,0.457,
66.96,100.0,,0.632,0.471
70.616,93.145981,,0.667,0.493
,100.0,0.883,,
70.05853659,99.09967804,0.899,0.639,0.513
43.413,,0.843,,0.714
61.545,26.4,0.97,0.588,
,,,0.222,0.795
77.21707317,100.0,0.945,0.853,0.114
77.18439024,,,,
76.12439024,100.0,0.964,0.818,0.225
71.0902439,,,0.718,0.264
74.31219512,100.0,,,0.241
,,0.951,,0.496
45.891,,0.791,0.331,0.736
,100.0,,,0.273
77.99878049,,0.988,0.82,0.094
,6.8,0.862,,
68.77097561,,1.014,0.715,
,96.18231201,,0.708,0.432
75.61707317,100.0,0.988,0.878,0.295
46.512,19.2,0.847,,0.654
,28.2,,0.498,
,100.0,0.956,0.748,0.632
72.565,93.16604614,0.972,0.739,0.43
77.87804878,100.0,,0.873,
76.06829268,100.0,0.945,0.84,
76.34536585,,0.966,,0.168
,,0.689,0.42,0.716
,100.0,0.986,0.689,
69.988,73.12332916,0.895,0.614,0.557
,,0.971,0.731,0.401
57.719,,,,
77.70487805,,0.98,,
78.08536585,100.0,0.937,0.861,
74.195,95.27372742,0.932,,0.493
,33.84919357,0.837,,
69.342,,0.976,0.635,
,,0.925,0.765,0.331
72.76780488,100.0,0.948,0.751,
75.87073171,100.0,0.942,0.852,0.152
75.11682927,100.0,0.976,,0.091
68.472,83.25549316,,,
65.468,,,0.591,0.646
77.54658537,100.0,0.956,0.781,
,,1.014,0.71,
,100.0,,,
77.3,,0.985,,0.21
,100.0,0.97,,0.244
56.416,30.6,0.829,,0.63
,100.0,0.934,,0.277
,100.0,,,0.325
64.598,55.43,0.87,,0.581
,50.9,0.711,0.446,0.706
,100.0,0.961,,0.2
78.93463415,100.0,0.974,,0.164
77.15365854,,0.922,0.804,0.248
77.72195122,100.0,0.945,0.795,0.206
70.518,,,,0.65
79.30365854,100.0,0.943,,0.16
56.617,10.9,,,0.708
72.99756098,99.96943665,,0.763,0.265
75.794,100.0,0.941,,0.587
68.9104878,100.0,0.994,,0.325
66.72268293,100.0,,0.69,0.419
63.872,56.77265167,,0.463,0.731
66.543,100.0,,0.634,0.474
70.942,95.44846344,0.913,,0.489
76.59934146,100.0,0.893,0.747,0.326
,99.12800598,0.9,,0.506
43.388,,0.856,0.327,0.711
,27.0,0.967,,0.546
,4.012139797,0.69,0.227,0.795
76.91658537,100.0,,0.855,0.113
,100.0,0.977,0.858,
76.43414634,100.0,0.964,,
67.542,,0.952,,0.513
71.59512195,,,0.731,0.252
74.51219512,100.0,0.979,0.741,
,100.0,,,
46.575,,,0.34,0.733
,,,0.374,0.673
72.44878049,100.0,0.967,0.701,0.263
78.0604878,100.0,,,0.09
50.87,2.330187798,,,0.653
68.13073171,100.0,,0.703,0.474
73.579,,1.022,0.711,0.435
,,0.987,,0.294
,,0.862,0.414,0.651
54.426,31.16366768,0.899,0.491,0.596
72.598,100.0,,0.755,0.635
73.172,,0.961,0.744,0.429
,100.0,0.97,0.873,
,100.0,,,0.18
76.69170732,100.0,0.966,0.858,
,17.8,0.701,,0.712
,100.0,0.989,,0.353
70.316,,0.901,0.618,0.553
73.211,,0.979,0.736,0.397
56.154,,0.965,,0.564
77.87170732,100.0,0.979,0.872,
78.35,100.0,0.938,0.863,0.113
74.614,95.51807404,0.933,,0.488
51.737,36.5,0.779,0.436,0.686
,34.99950409,0.837,0.436,0.703
69.613,92.72196198,0.976,0.64,0.519
,100.0,0.926,,0.331
,100.0,0.947,,0.249
,,,0.858,0.144
75.37512195,100.0,0.976,,
68.792,84.02422333,0.909,0.607,
65.816,95.64853668,,0.598,0.638
,,,,
66.5,100.0,1.025,,0.4
,,1.002,0.841,0.093
77.64878049,100.0,0.982,0.823,
76.88536585,,0.971,0.828,0.238
56.112,30.36940575,0.833,,0.628
77.63902439,100.0,0.932,0.774,0.27
,100.0,0.986,,0.319
64.856,62.8,0.872,0.558,0.575
60.216,49.81130981,0.714,0.452,
75.78712195,100.0,0.964,0.771,0.193
79.24707317,100.0,0.982,0.835,0.16
77.40243902,100.0,0.926,,0.244
77.92195122,100.0,0.949,0.804,0.201
70.699,,,0.644,0.646
,100.0,0.945,0.861,0.161
56.273,3.473436832,0.876,0.473,0.706
,99.98912048,0.924,,0.256
75.763,100.0,0.947,0.733,0.593
68.5302439,100.0,1.001,,
65.66439024,100.0,,0.687,0.409
,58.60889816,0.74,,0.726
65.07,100.0,,,0.485
,95.238294,,0.674,0.485
76.49985366,100.0,0.884,0.751,
,99.15496826,0.901,0.646,0.499
43.561,2.013661385,,0.326,0.71
,,0.966,0.587,0.546
,4.57177639,0.697,0.232,0.795
77.37512195,100.0,0.944,,0.107
77.6897561,,,,0.118
76.88292683,100.0,,,0.214
67.942,68.01855469,0.95,0.609,
71.69512195,100.0,,0.741,0.242
,100.0,,,0.228
69.5097561,100.0,,0.682,0.482
,28.38453484,0.758,,0.727
56.955,,0.751,,0.671
72.3,100.0,0.966,0.711,0.255
78.6502439,100.0,0.995,0.851,
71.615,,0.807,,0.517
50.797,3.300647259,0.867,0.369,0.652
46.353,,0.824,0.336,0.655
67.54121951,100.0,1.013,0.689,
73.728,96.54244995,1.019,0.716,
,100.0,0.988,0.884,0.299
45.854,14.94175911,,0.411,0.647
,,,0.486,0.595
72.695,,0.962,0.762,0.627
73.133,,0.963,0.745,
,100.0,0.97,0.882,0.176
76.66829268,,,,0.17
,100.0,0.969,0.865,
,18.33804512,0.712,0.436,0.708
71.05341463,100.0,,0.7,0.342
69.887,74.91539764,0.903,0.62,0.547
,100.0,0.986,,0.391
,16.12501717,0.968,0.583,0.561
47.35,3.0,0.744,0.323,
,100.0,,0.876,0.182
,,,0.865,0.109
74.609,,0.937,0.728,0.483
51.61,43.63125229,0.787,,0.684
,,0.837,,
69.933,,0.971,0.645,0.515
75.133,100.0,0.932,0.776,0.316
73.07487805,100.0,,,0.229
76.42195122,,,0.863,
75.21268293,100.0,,0.854,0.093
,,0.913,,0.557
66.312,95.5,0.83,0.605,0.635
77.98073171,100.0,0.963,,0.144
,100.0,1.024,0.725,0.374
76.4095122,100.0,1.004,0.847,0.092
77.75121951,100.0,,0.828,
76.83658537,,,,0.235
56.565,32.4504509,,0.483,0.625
77.58536585,100.0,0.945,,0.262
,100.0,,0.712,0.286
69.79170732,100.0,0.981,,
65.237,66.86,,,0.571
60.596,51.40877533,,0.458,0.701
,,0.968,,0.191
77.98439024,100.0,0.978,0.833,0.157
77.45121951,100.0,,0.811,
,,0.948,0.81,0.195
70.87,98.32859802,0.836,0.651,0.642
79.53609756,100.0,,0.863,
,5.427343369,0.878,0.475,0.704
,100.0,,0.783,0.249
75.537,100.0,0.961,0.759,0.597
,,,,0.318
66.39121951,100.0,1.036,0.696,
64.736,,0.742,,0.723
,100.0,0.97,0.618,0.486
71.646,,0.918,0.674,0.479
,100.0,0.893,0.758,0.303
,99.17988586,0.902,,0.485
43.641,2.471727133,0.869,,0.708
,,0.963,,
45.774,6.2,0.701,0.238,0.797
77.40463415,100.0,0.948,0.878,0.096
,100.0,,0.871,0.112
76.73414634,100.0,0.967,0.853,0.223
72.385,,,0.69,
68.223,,,0.612,0.503
71.89268293,100.0,,0.746,0.227
75.31219512,100.0,0.979,,0.224
69.009,77.469114,0.933,0.623,0.588
69.45609756,100.0,0.96,0.688,0.474
51.991,28.8697834,0.791,0.371,0.723
56.839,28.85719109,0.757,,0.671
66.33,,0.932,0.578,0.527
72.25365854,,0.97,0.72,0.242
73.95853659,,0.976,0.76,0.236
,100.0,,0.86,0.075
68.17,,0.96,,0.673
71.988,,,0.611,0.502
50.786,4.269067287,,0.37,0.651
,,0.829,0.342,0.654
66.74195122,,1.017,0.684,
73.896,96.71979523,1.015,0.717,
,,,0.885,0.295
72.143,99.0,,,
45.553,15.66827202,0.871,,0.642
50.531,31.94857979,0.901,,0.594
72.767,100.0,0.96,0.767,0.624
73.307,,0.965,0.751,
78.07804878,100.0,0.965,0.884,0.174
76.87073171,,0.952,0.853,0.163
77.18731707,100.0,,0.871,0.16
55.558,14.5,,0.391,0.677
59.492,21.14438629,0.716,,
70.89731707,100.0,,,0.336
69.806,75.80769348,,,
73.546,100.0,0.988,,
,18.36274719,0.959,,
46.831,3.334915638,0.744,0.319,
78.2202439,100.0,0.98,,0.176
78.89609756,,,0.87,0.107
74.899,95.617315,0.939,0.735,
51.52,,0.796,,0.681
,37.29332352,0.836,,
70.189,93.30310059,0.968,0.653,0.513
75.522,100.0,0.937,0.781,0.285
73.71463415,100.0,0.951,,0.214
76.67317073,100.0,0.944,,0.14
75.59146341,100.0,0.978,0.862,
,,0.919,0.62,0.55
,,,,
78.1204878,,0.966,,0.141
69.61219512,,,0.742,0.353
76.69341463,100.0,,0.854,
77.95365854,100.0,,,
77.08780488,100.0,0.972,0.834,
56.82,34.52877045,0.841,0.487,0.62
,,0.95,0.782,0.254
,,0.944,,
70.32878049,100.0,0.977,0.741,
65.355,72.39,,0.578,0.566
60.984,53.00352097,0.726,0.466,0.694
75.83170732,100.0,,,0.195
78.77780488,100.0,0.983,0.838,0.156
78.10487805,100.0,0.931,0.818,0.24
78.52195122,100.0,0.95,,
71.064,98.44197845,0.836,,
80.2197561,,0.947,0.868,0.155
55.161,7.378530502,0.881,0.477,
74.15121951,,0.929,0.793,0.244
75.618,100.0,,,
70.10804878,100.0,1.003,0.717,0.303
68.77658537,100.0,1.022,,0.363
65.238,62.27459335,0.751,0.49,0.719
,,,0.617,0.477
72.037,96.093624,,,
,6.2,,0.277,0.671
,,0.909,0.756,
70.32292683,99.20209503,0.904,0.654,0.474
43.441,2.927073479,,0.368,0.706
56.918,30.96898842,0.959,0.571,
46.676,7.0,,,
77.43560976,100.0,0.95,0.882,0.097
78.1504878,,0.978,,
59.981,17.9,0.766,0.442,0.705
76.78780488,100.0,0.974,,0.22
72.675,77.49204254,0.961,,0.516
68.614,,,0.62,
,,0.85,0.43,0.658
72.24634146,100.0,0.985,,0.217
75.26097561,100.0,0.983,,0.223
69.202,86.26005554,0.943,,0.583
69.10487805,,,0.693,0.469
52.276,29.3523159,0.801,0.379,
56.672,30.52117729,0.762,0.376,0.671
67.076,77.883,0.929,0.587,
72.65365854,100.0,0.973,0.73,
,100.0,0.979,0.771,0.223
78.95902439,100.0,0.999,0.868,0.067
68.323,82.55436707,0.96,0.678,0.67
72.38,,,0.62,0.485
50.744,,0.868,0.372,0.648
46.67,,0.831,0.354,0.654
67.02243902,100.0,,0.685,
,,1.018,0.723,
,100.0,0.987,0.887,0.291
72.111,98.48413086,0.973,0.679,0.555
61.459,57.6,0.961,0.656,0.472
45.233,17.3,0.876,0.414,0.645
,32.33729553,0.897,,
,100.0,0.962,0.773,
73.09,94.49201202,0.97,,
78.4804878,100.0,0.964,0.887,0.172
77.3195122,100.0,0.955,0.857,0.155
77.37073171,100.0,,0.876,0.158
55.978,18.58962631,0.744,,
,22.4,,0.453,0.699
70.35121951,100.0,0.987,0.706,
,,,0.625,0.531
73.547,100.0,0.99,0.747,0.383
53.448,,0.954,0.586,
,3.830210209,,0.322,0.74
,,,0.88,0.169
,,0.938,,
75.596,96.23616791,,0.744,
51.449,,0.801,0.456,0.68
,38.4354744,,0.435,
70.492,93.58891296,,,0.508
75.841,100.0,,,
73.82487805,,0.954,,0.205
77.07317073,,0.945,0.874,0.139
75.94512195,100.0,0.98,,0.089
,86.31544495,0.926,,0.543
67.197,96.40246582,0.845,0.619,
78.60414634,,,0.808,0.141
69.8097561,100.0,1.018,0.757,0.333
76.87853659,,,0.863,0.087
78.30487805,100.0,0.982,,
,100.0,,0.842,
,36.60369492,,0.492,0.618
78.13658537,,,,0.25
,,0.948,0.732,
70.70243902,,,0.749,0.295
,80.3,0.876,,
61.388,,0.734,0.471,
75.98536585,,0.976,0.794,0.198
,100.0,,0.849,
78.0,,,0.825,
78.82439024,,0.953,,
71.272,,,0.661,0.632
80.42414634,100.0,,0.871,
54.816,9.326317787,0.912,0.477,0.702
74.60243902,100.0,0.93,0.806,0.236
75.879,100.0,0.966,0.786,
70.90902439,,1.0,0.732,0.277
69.34926829,100.0,1.021,,
,64.10268402,0.754,0.494,0.716
65.172,,0.968,0.626,0.462
72.445,,0.92,0.688,
48.531,4.28854084,0.739,0.289,0.672
77.73902439,100.0,0.905,,
47.408,,0.821,,
,99.22089386,,0.66,0.477
43.131,3.379020214,,,0.705
55.558,31.9824295,0.958,0.562,0.547
47.505,6.235727787,0.712,0.248,0.795
77.79439024,100.0,0.95,0.883,0.1
78.14268293,100.0,0.981,0.885,
60.771,,0.776,,0.7
77.33414634,100.0,0.978,0.865,
72.97,78.29434967,,0.703,0.523
,71.35339355,,,
61.377,2.158482552,0.852,0.432,0.656
72.64634146,,,0.766,0.206
,,,0.778,
,86.412854,0.943,0.638,0.579
69.00487805,,0.961,0.696,0.462
,,0.868,0.302,0.594
52.833,29.83145714,0.808,,
,32.2,0.769,0.377,
67.895,,0.927,0.597,
,,,0.738,0.23
74.70731707,100.0,,,0.205
79.19756098,100.0,1.002,,0.063
68.49,,,0.68,
72.863,,0.826,,0.467
50.624,6.197068214,,,
,3.94494772,0.837,0.364,0.652
67.57634146,100.0,,0.689,
,97.06565094,1.02,0.735,
,,0.988,0.89,0.282
72.703,98.7,0.975,0.685,
,78.4,0.947,0.56,0.358
60.805,,0.957,0.651,
44.945,17.11245918,,0.413,0.646
47.993,32.72261047,0.899,0.472,0.594
73.066,,,,
73.474,94.81500244,0.97,0.762,
,100.0,0.966,0.891,0.169
77.67073171,,,,
46.552,3.9,0.842,,0.623
77.47317073,,0.971,0.878,
,19.5782547,0.751,0.402,0.672
63.917,,0.748,0.467,
,100.0,0.987,,0.326
68.599,77.58140564,0.915,,0.526
73.728,100.0,,0.748,0.379
52.523,,0.969,0.586,0.556
46.025,4.321425438,0.745,0.325,
78.62365854,100.0,0.979,0.879,
79.32439024,100.0,0.944,0.88,0.105
75.669,97.241124,,0.749,0.446
,46.67124557,0.806,0.461,0.679
,40.7,0.835,0.436,0.698
,93.87064362,0.974,0.665,
76.182,100.0,,0.794,
74.51463415,100.0,0.956,,0.197
,100.0,,,
76.13902439,,,,0.079
69.096,87.07193756,,0.633,
67.471,96.64652252,0.84,,0.63
78.66585366,,0.964,0.813,
,100.0,1.022,0.764,0.326
77.09073171,100.0,1.002,0.873,0.086
,100.0,0.982,0.842,
,100.0,0.979,0.848,0.24
57.6,42.6,,0.497,
,,,0.799,0.244
62.721,66.859519,0.91,0.527,
72.31707317,,0.95,,0.263
70.55780488,100.0,,0.756,
,,0.879,0.585,0.557
61.792,56.18213272,0.741,0.478,
76.1804878,100.0,0.98,0.83,0.203
79.60243902,100.0,,0.86,
78.14878049,100.0,,0.833,0.235
78.97560976,100.0,0.956,0.829,0.182
71.474,,0.844,0.666,
,100.0,0.949,,0.161
54.526,14.5,0.882,0.479,
75.00487805,,0.925,0.804,0.219
76.157,100.0,0.969,,
71.2195122,100.0,1.003,,0.265
69.01219512,100.0,,0.733,
66.018,65.92668915,,,0.711
,100.0,0.968,0.628,0.447
72.845,96.092755,0.92,0.696,0.462
,,0.752,,
77.58780488,100.0,0.908,,0.339
48.024,,0.826,0.283,
,99.23561859,0.909,0.667,
,3.826887608,0.863,0.369,
54.101,32.99179077,,,0.548
48.191,,,0.256,0.794
,,0.952,,
,100.0,,,
61.549,21.7325325,,0.455,0.697
,,0.979,,
,,,0.43,
73.279,79.09257507,0.982,0.71,0.524
69.1,71.3,,,
,,,0.435,
72.99756098,100.0,0.988,0.776,0.202
75.71219512,100.0,0.983,0.786,0.221
69.478,87.76236725,,0.644,0.576
,100.0,0.959,0.7,0.455
,2.174127579,,0.309,0.591
48.81,,,0.376,0.714
56.418,33.83826828,0.775,0.379,0.669
68.478,81.637983,,0.605,
72.55121951,,0.979,,0.225
74.80731707,100.0,0.982,0.794,0.199
79.33902439,,0.989,0.894,
,15.3,0.761,0.439,0.726
68.642,,,0.685,0.669
73.169,93.2,,0.639,0.447
50.914,,,0.38,0.642
,,0.858,0.373,
68.37487805,,1.006,0.696,0.429
74.527,,1.012,0.744,0.414
76.5804878,,0.991,,
72.668,98.4,0.977,0.686,
72.107,86.17598724,0.949,0.569,0.342
60.001,64.9,0.955,0.644,
,19.0,,0.411,0.646
,,,0.466,0.596
75.183,100.0,0.929,,0.33
73.67,100.0,0.959,0.787,0.605
,95.13315582,0.99,0.773,0.415
78.93170732,100.0,,,0.156
77.87560976,100.0,0.956,0.866,0.147
,,0.973,0.615,0.368
47.528,2.070949316,0.841,0.296,
77.6195122,100.0,0.975,0.882,0.129
56.526,20.56204224,0.76,,0.677
50.325,,0.75,0.293,0.68
66.228,,0.756,,
,,0.983,0.72,0.328
,,0.917,,0.513
,,0.902,0.631,
74.039,100.0,0.99,0.75,
,25.0527401,,,0.555
45.75,,,0.329,0.711
78.83902439,100.0,0.983,0.884,
,100.0,0.944,,
76.018,96.69554901,0.939,,0.44
50.957,48.2,,0.459,0.679
52.695,40.70677567,,0.437,
70.926,,0.978,,0.499
76.295,,0.942,0.794,0.255
74.66829268,100.0,0.957,,0.188
,100.0,0.944,0.884,0.127
76.34146341,100.0,,0.886,0.077
69.279,,,0.64,0.511
67.737,96.88573456,,0.629,0.627
78.71707317,100.0,,0.818,0.152
70.06341463,,1.023,0.773,0.281
77.29121951,100.0,,0.881,0.082
78.75609756,100.0,,0.84,0.191
77.3902439,100.0,,0.855,
,40.74053955,,0.502,0.608
52.356,16.4,0.733,0.339,0.701
77.98780488,100.0,,0.801,
64.17,73.86991882,0.922,0.573,
68.422,67.394103,0.928,0.55,
72.64195122,,,,0.245
,100.0,0.983,0.763,0.297
66.221,83.73,,0.59,0.554
,60.1,,0.486,0.67
76.08292683,,0.982,0.837,0.204
79.35121951,,0.988,0.862,0.145
78.65853659,100.0,0.939,0.841,0.2
,100.0,0.956,0.835,
,98.75891113,0.848,0.671,
80.46097561,,0.958,,0.155
65.63,97.0,1.008,,
54.495,13.20889187,0.881,0.48,0.692
75.4097561,100.0,0.925,,0.212
76.416,100.0,0.966,0.787,
71.57073171,100.0,1.009,,0.243
,100.0,1.022,0.746,0.284
,67.74585724,0.771,,0.706
65.561,100.0,0.97,0.631,0.397
,,,0.436,0.637
73.225,96.74829865,,0.702,
49.797,,,0.311,0.672
77.5,100.0,,0.78,
48.812,,0.832,0.296,0.611
70.96097561,99.24550629,0.912,0.674,
,4.26991272,0.86,0.375,
53.036,33.99631119,0.95,0.548,0.546
48.738,7.325682163,0.722,0.259,
77.83658537,100.0,0.952,0.888,0.096
,100.0,0.987,,0.1
62.113,25.32735443,0.772,0.461,0.677
77.8902439,,0.979,,0.199
61.679,70.26535034,0.638,,
73.622,79.88595581,0.983,0.715,
69.298,,0.938,,
,6.426855087,0.857,,
73.04390244,100.0,0.991,0.783,
75.96341463,100.0,0.983,0.785,0.19
,88.518177,0.923,0.649,0.555
70.51219512,100.0,0.961,,0.445
44.616,3.31557703,,0.324,
57.015,30.77675629,0.801,0.413,
56.609,,0.778,0.382,0.661
,,0.935,,
72.90243902,100.0,0.982,0.755,
75.0097561,100.0,0.984,0.812,
79.44146341,100.0,,,0.059
,16.07299995,0.765,0.443,
62.621,,0.852,0.553,
68.809,84.82884216,0.959,0.688,0.672
73.508,94.2,0.842,0.65,
51.748,,0.879,0.39,0.642
47.786,6.199634075,,0.385,0.645
67.98097561,100.0,1.006,0.698,0.368
74.769,,1.003,0.747,0.379
76.58292683,,0.99,0.889,0.277
72.254,,0.975,0.682,
72.317,,0.952,,0.334
59.241,71.33178711,0.953,0.638,0.459
44.659,18.54024506,,,0.648
45.206,38.4,,0.457,
46.024,,0.831,0.375,0.671
75.404,99.4,,,0.319
74.38,100.0,,0.796,0.605
73.926,95.7,,,0.413
70.624,98.9,0.944,0.662,0.453
79.23414634,100.0,0.966,0.896,0.151
78.12682927,100.0,0.957,0.871,0.149
64.891,98.9,,0.622,0.354
,,0.852,0.297,
77.72195122,100.0,0.974,0.887,0.134
,,0.768,0.416,0.673
50.847,9.1,,0.296,0.675
65.779,32.0,0.77,0.485,0.689
71.66341463,88.1,0.976,,0.322
68.564,79.0,0.921,0.64,
62.346,,0.898,,0.589
74.089,100.0,0.994,,0.361
51.011,26.5,0.957,0.585,0.517
45.406,6.0,,0.329,0.71
79.16682927,100.0,0.982,0.89,0.15
79.6804878,100.0,,0.887,0.103
76.87,97.9,0.939,0.763,0.429
71.881,96.7,,0.584,0.275
,48.7,0.803,,0.678
,41.0,0.836,,0.693
,95.2,,,
,96.9,0.956,,0.427
76.183,,0.918,,0.369
76.568,,,0.797,
74.96829268,100.0,0.958,0.808,0.176
,100.0,0.943,0.889,0.133
76.59268293,100.0,0.985,0.889,0.075
,88.8,0.942,,0.504
70.478,98.6,0.781,0.649,0.598
68.007,,0.835,0.633,0.617
,100.0,0.967,,0.129
70.41707317,100.0,1.028,0.787,0.279
77.46585366,,0.996,,0.084
66.31,,0.924,0.681,
79.05609756,100.0,0.981,0.844,0.195
,,,,0.625
77.74146341,100.0,,0.862,0.21
,99.8,0.957,,0.389
,43.7,,0.507,0.604
,15.2,0.741,0.345,0.702
77.88780488,100.0,0.972,,
67.446,73.3,0.893,0.55,0.584
64.483,74.6,0.924,0.577,0.561
68.662,,,0.556,0.534
72.80780488,,0.954,0.759,
71.24634146,100.0,0.98,,0.291
,,0.887,0.595,
62.669,60.3,0.757,0.491,0.664
76.53658537,100.0,0.984,0.847,
,97.9,,0.685,
66.817,96.8,0.731,,
79.65365854,100.0,,0.871,
,,0.942,0.844,0.193
79.77804878,100.0,0.954,,0.186
70.944,,0.969,0.664,0.434
71.918,99.0,,0.678,0.593
81.07609756,100.0,0.958,,0.147
65.45,99.6,,,0.377
,,,0.481,
,16.6,0.887,0.425,0.602
,,0.927,0.825,0.17
,,,0.787,0.56
70.355,,0.947,0.688,
48.427,4.3,0.994,,0.585
,99.5,1.011,,0.263
77.87317073,100.0,0.995,,0.17
70.31463415,,1.027,0.756,0.275
66.787,69.8,0.779,0.521,0.7
66.417,98.7,0.974,0.641,0.396
57.938,12.6,0.899,,
,,0.91,,0.499
73.569,98.0,0.921,0.709,
,99.0,0.919,,0.333
50.539,9.6,0.769,,0.67
78.34878049,,0.916,0.779,0.299
,67.3,,0.598,
,6.1,0.838,0.303,
61.028,19.1,0.826,,0.744
71.66341463,99.0,,0.681,
,4.8,,0.374,0.681
72.775,98.6,0.931,0.721,
51.99,,,0.546,0.542
49.322,6.5,0.724,0.262,
77.98780488,100.0,0.954,,0.1
78.63414634,100.0,,0.913,0.1
62.614,,0.805,0.467,0.663
,100.0,0.981,0.887,0.188
62.102,72.8,0.647,0.441,0.764
74.001,81.4,0.968,0.721,0.513
,74.7,0.937,,0.497
,12.4,0.859,0.447,0.654
73.74878049,100.0,0.991,0.793,0.194
,100.0,,0.791,0.195
69.75,89.6,0.933,0.649,0.553
71.16341463,94.4,0.962,0.715,
47.129,6.2,0.871,,
58.319,23.0,0.804,,0.709
,37.7,0.784,0.388,
77.95121951,,0.938,,0.264
45.05,7.7,,,0.691
69.865,84.5,0.932,0.617,
61.655,,0.843,0.501,0.601
73.05121951,100.0,0.985,0.763,0.215
75.41219512,,,0.821,0.189
,,0.988,,0.06
47.256,,,0.471,0.63
70.764,93.4,0.821,,0.461
,17.0,0.773,0.446,0.666
,82.1,0.969,,
63.26,98.5,0.854,0.56,
68.978,85.6,0.957,,0.667
69.102,91.3,0.954,,
73.69,,,0.658,
71.861,99.9,,,0.553
52.362,,0.882,,0.64
48.342,7.4,0.866,0.394,
67.67560976,99.1,1.008,,
,,1.003,0.753,0.381
76.63658537,100.0,,,
65.724,,,0.607,0.353
72.478,98.9,0.981,0.684,0.519
,88.2,0.952,0.588,0.328
,,,0.633,0.459
45.231,16.7,0.85,,0.648
44.686,,0.888,0.452,
46.59,20.0,0.845,0.386,0.665
,99.4,0.933,,
74.636,100.0,0.963,,0.602
74.186,95.5,0.99,,0.412
70.932,100.0,0.935,0.666,0.444
79.63414634,100.0,0.966,0.9,0.15
,,0.959,0.876,0.147
65.51,98.6,0.973,0.632,
,2.8,0.855,,0.612
,100.0,0.968,0.89,0.137
56.66,21.9,,,0.671
51.071,,0.766,0.299,0.666
66.135,,0.778,,0.685
,88.6,,,
68.50731707,89.5,,0.716,0.245
68.357,80.2,0.924,,
62.843,69.3,,0.632,0.584
74.247,100.0,0.993,0.756,0.359
50.676,24.8,0.945,,0.517
45.393,5.7,,0.332,0.71
79.39804878,,0.982,,0.145
80.1804878,,0.949,0.89,0.095
,97.1,,,0.43
72.606,97.0,0.907,,
,49.7,,,0.675
