LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
54.481,32.69752502,0.84,0.446,0.704
69.038,92.13265991,0.975,0.628,0.528
74.177,100.0,0.922,0.726,0.36
72.27170732,100.0,0.954,0.743,0.284
75.8195122,100.0,0.945,0.842,0.162
75.19414634,100.0,0.979,0.841,0.094
68.084,82.48540497,0.903,0.593,0.572
65.031,93.4,0.827,0.585,0.65
77.41,100.0,0.954,0.772,0.17
68.86341463,100.0,1.01,0.719,0.384
75.45536585,100.0,1.005,0.825,0.1
77.1,100.0,0.984,0.806,0.224
76.43414634,100.0,0.969,0.816,0.25
77.38292683,100.0,0.927,0.769,0.287
69.11707317,100.0,0.983,0.714,0.327
64.126,66.69656372,0.865,0.54,0.586
75.41509756,100.0,0.96,0.751,0.209
78.7602439,100.0,0.973,0.828,0.174
76.50487805,100.0,0.921,0.797,0.255
77.4195122,100.0,0.944,0.789,0.205
70.316,97.97486115,0.828,0.637,0.656
79.0802439,100.0,0.954,0.85,0.164
72.49756098,99.94221497,0.903,0.754,0.28
75.691,100.0,0.929,0.678,0.578
68.39609756,100.0,1.016,0.706,0.413
63.401,49.2,0.727,0.457,0.735
66.96,100.0,0.973,0.632,0.471
70.616,93.145981,0.911,0.667,0.493
75.27712195,100.0,0.883,0.737,0.33
70.05853659,99.09967804,0.899,0.639,0.513
43.413,3.2,0.843,0.319,0.714
61.545,26.4,0.97,0.588,0.548
42.947,4.4,0.682,0.222,0.795
77.21707317,100.0,0.945,0.853,0.114
77.18439024,100.0,0.979,0.851,0.127
76.12439024,100.0,0.964,0.818,0.225
71.0902439,100.0,0.975,0.718,0.264
74.31219512,100.0,0.976,0.727,0.241
69.78439024,100.0,0.951,0.679,0.496
45.891,27.4086132,0.791,0.331,0.736
71.79512195,100.0,0.968,0.694,0.273
77.99878049,100.0,0.988,0.82,0.094
50.989,6.8,0.862,0.369,0.654
68.77097561,100.0,1.014,0.715,0.473
73.441,96.18231201,1.027,0.708,0.432
75.61707317,100.0,0.988,0.878,0.295
46.512,19.2,0.847,0.408,0.654
56.435,28.2,0.9,0.498,0.598
72.521,100.0,0.956,0.748,0.632
72.565,93.16604614,0.972,0.739,0.43
77.87804878,100.0,0.969,0.873,0.181
76.06829268,100.0,0.945,0.84,0.195
76.34536585,100.0,0.966,0.85,0.168
57.927,12.71788025,0.689,0.42,0.716
71.34682927,100.0,0.986,0.689,0.353
69.988,73.12332916,0.895,0.614,0.557
73.19,100.0,0.971,0.731,0.401
57.719,11.64207649,0.958,0.588,0.568
77.70487805,100.0,0.98,0.866,0.185
78.08536585,100.0,0.937,0.861,0.12
74.195,95.27372742,0.932,0.716,0.493
54.062,33.84919357,0.837,0.439,0.704
69.342,92.42799377,0.976,0.635,0.525
74.65,100.0,0.925,0.765,0.331
72.76780488,100.0,0.948,0.751,0.276
75.87073171,100.0,0.942,0.852,0.152
75.11682927,100.0,0.976,0.844,0.091
68.472,83.25549316,0.906,0.6,0.568
65.468,95.39224243,0.829,0.591,0.646
77.54658537,100.0,0.956,0.781,0.162
67.9097561,100.0,1.014,0.71,0.385
75.70512195,100.0,1.001,0.829,0.095
77.3,100.0,0.985,0.809,0.21
76.38536585,100.0,0.97,0.82,0.244
56.416,30.6,0.829,0.475,0.63
77.3902439,100.0,0.934,0.769,0.277
69.10121951,100.0,0.984,0.722,0.325
64.598,55.43,0.87,0.548,0.581
59.815,50.9,0.711,0.446,0.706
75.29219512,100.0,0.961,0.76,0.2
78.93463415,100.0,0.974,0.829,0.164
77.15365854,100.0,0.922,0.804,0.248
77.72195122,100.0,0.945,0.795,0.206
70.518,98.09436035,0.836,0.641,0.65
79.30365854,100.0,0.943,0.855,0.16
56.617,10.9,0.873,0.471,0.708
72.99756098,99.96943665,0.924,0.763,0.265
75.794,100.0,0.941,0.705,0.587
68.9104878,100.0,0.994,0.697,0.325
66.72268293,100.0,1.029,0.69,0.419
63.872,56.77265167,0.731,0.463,0.731
66.543,100.0,0.968,0.634,0.474
70.942,95.44846344,0.913,0.669,0.489
76.59934146,100.0,0.893,0.747,0.326
70.10731707,99.12800598,0.9,0.643,0.506
43.388,1.553555846,0.856,0.327,0.711
60.86,27.0,0.967,0.588,0.546
43.817,4.012139797,0.69,0.227,0.795
76.91658537,100.0,0.949,0.855,0.113
77.15170732,100.0,0.977,0.858,0.122
76.43414634,100.0,0.964,0.833,0.223
67.542,65.4,0.952,0.606,0.513
71.59512195,100.0,0.974,0.731,0.252
74.51219512,100.0,0.979,0.741,0.239
69.56341463,100.0,0.952,0.68,0.489
46.575,27.89725304,0.799,0.34,0.733
56.996,26.0,0.748,0.374,0.673
72.44878049,100.0,0.967,0.701,0.263
78.0604878,100.0,1.003,0.84,0.09
50.87,2.330187798,0.862,0.369,0.653
68.13073171,100.0,1.013,0.703,0.474
73.579,96.36306,1.022,0.711,0.435
75.4195122,100.0,0.987,0.88,0.294
46.209,14.21320724,0.862,0.414,0.651
54.426,31.16366768,0.899,0.491,0.596
72.598,100.0,0.959,0.755,0.635
73.172,93.50127411,0.961,0.744,0.429
77.87804878,100.0,0.97,0.873,0.179
76.4195122,100.0,0.949,0.845,0.18
76.69170732,100.0,0.966,0.858,0.162
58.617,17.8,0.701,0.427,0.712
71.20878049,100.0,0.989,0.691,0.353
70.316,74.02038574,0.901,0.618,0.553
73.211,100.0,0.979,0.736,0.397
56.154,13.88456631,0.965,0.578,0.564
77.87170732,100.0,0.979,0.872,0.185
78.35,100.0,0.938,0.863,0.113
74.614,95.51807404,0.933,0.722,0.488
51.737,36.5,0.779,0.436,0.686
53.528,34.99950409,0.837,0.436,0.703
69.613,92.72196198,0.976,0.64,0.519
74.72,100.0,0.926,0.77,0.331
72.97268293,100.0,0.947,0.762,0.249
76.27073171,100.0,0.943,0.858,0.144
75.37512195,100.0,0.976,0.851,0.093
68.792,84.02422333,0.909,0.607,0.563
65.816,95.64853668,0.836,0.598,0.638
77.90146341,100.0,0.958,0.789,0.151
66.5,100.0,1.025,0.712,0.4
76.39560976,100.0,1.002,0.841,0.093
77.64878049,100.0,0.982,0.823,0.202
76.88536585,100.0,0.971,0.828,0.238
56.112,30.36940575,0.833,0.477,0.628
77.63902439,100.0,0.932,0.774,0.27
69.4697561,100.0,0.986,0.731,0.319
64.856,62.8,0.872,0.558,0.575
60.216,49.81130981,0.714,0.452,0.704
75.78712195,100.0,0.964,0.771,0.193
79.24707317,100.0,0.982,0.835,0.16
77.40243902,100.0,0.926,0.808,0.244
77.92195122,100.0,0.949,0.804,0.201
70.699,98.21250153,0.832,0.644,0.646
79.69682927,100.0,0.945,0.861,0.161
56.273,3.473436832,0.876,0.473,0.706
73.39756098,99.98912048,0.924,0.773,0.256
75.763,100.0,0.947,0.733,0.593
68.5302439,100.0,1.001,0.693,0.328
65.66439024,100.0,1.038,0.687,0.409
64.346,58.60889816,0.74,0.475,0.726
65.07,100.0,0.966,0.614,0.485
71.279,95.238294,0.916,0.674,0.485
76.49985366,100.0,0.884,0.751,0.312
70.15853659,99.15496826,0.901,0.646,0.499
43.561,2.013661385,0.863,0.326,0.71
59.846,28.93258858,0.966,0.587,0.546
44.714,4.57177639,0.697,0.232,0.795
77.37512195,100.0,0.944,0.881,0.107
77.6897561,100.0,0.976,0.873,0.118
76.88292683,100.0,0.97,0.846,0.214
67.942,68.01855469,0.95,0.609,0.508
71.69512195,100.0,0.979,0.741,0.242
74.91463415,100.0,0.976,0.754,0.228
69.5097561,100.0,0.957,0.682,0.482
56.644,28.38453484,0.758,0.383,0.727
56.955,27.19048691,0.751,0.374,0.671
72.3,100.0,0.966,0.711,0.255
78.6502439,100.0,0.995,0.851,0.083
71.615,86.8,0.807,0.604,0.517
50.797,3.300647259,0.867,0.369,0.652
46.353,0.533898532,0.824,0.336,0.655
67.54121951,100.0,1.013,0.689,0.474
73.728,96.54244995,1.019,0.716,0.434
75.6195122,100.0,0.988,0.884,0.299
45.854,14.94175911,0.868,0.411,0.647
52.588,28.1,0.901,0.486,0.595
72.695,100.0,0.962,0.762,0.627
73.133,93.83446503,0.963,0.745,0.426
77.82926829,100.0,0.97,0.882,0.176
76.66829268,100.0,0.952,0.849,0.17
76.84073171,100.0,0.969,0.865,0.159
59.467,18.33804512,0.712,0.436,0.708
71.05341463,100.0,0.99,0.7,0.342
69.887,74.91539764,0.903,0.62,0.547
73.298,100.0,0.986,0.739,0.391
55.059,16.12501717,0.968,0.583,0.561
47.35,3.0,0.744,0.323,0.743
77.97731707,100.0,0.981,0.876,0.182
78.41707317,100.0,0.937,0.865,0.109
74.609,95.76038361,0.937,0.728,0.483
51.61,43.63125229,0.787,0.442,0.684
53.222,36.14777374,0.837,0.435,0.702
69.933,91.2,0.971,0.645,0.515
75.133,100.0,0.932,0.776,0.316
73.07487805,100.0,0.949,0.77,0.229
76.42195122,100.0,0.944,0.863,0.14
75.21268293,100.0,0.974,0.854,0.093
68.988,84.79090881,0.913,0.613,0.557
66.312,95.5,0.83,0.605,0.635
77.98073171,100.0,0.963,0.796,0.144
67.54390244,100.0,1.024,0.725,0.374
76.4095122,100.0,1.004,0.847,0.092
77.75121951,100.0,0.982,0.828,0.197
76.83658537,100.0,0.97,0.828,0.235
56.565,32.4504509,0.836,0.483,0.625
77.58536585,100.0,0.945,0.777,0.262
72.08439024,100.0,0.946,0.712,0.286
69.79170732,100.0,0.981,0.735,0.314
65.237,66.86,0.876,0.569,0.571
60.596,51.40877533,0.717,0.458,0.701
75.46980488,100.0,0.968,0.777,0.191
77.98439024,100.0,0.978,0.833,0.157
77.45121951,100.0,0.928,0.811,0.242
78.17073171,100.0,0.948,0.81,0.195
70.87,98.32859802,0.836,0.651,0.642
79.53609756,100.0,0.946,0.863,0.159
55.617,5.427343369,0.878,0.475,0.704
73.7,100.0,0.927,0.783,0.249
75.537,100.0,0.961,0.759,0.597
69.00634146,100.0,1.003,0.701,0.318
66.39121951,100.0,1.036,0.696,0.392
64.736,56.5,0.742,0.478,0.723
65.099,100.0,0.97,0.618,0.486
71.646,95.89446259,0.918,0.674,0.479
77.2902439,100.0,0.893,0.758,0.303
70.32585366,99.17988586,0.902,0.651,0.485
43.641,2.471727133,0.869,0.367,0.708
58.634,29.95214844,0.963,0.582,0.545
45.774,6.2,0.701,0.238,0.797
77.40463415,100.0,0.948,0.878,0.096
77.73658537,100.0,0.978,0.871,0.112
76.73414634,100.0,0.967,0.853,0.223
72.385,76.68634033,0.959,0.69,0.523
68.223,69.13311768,0.952,0.612,0.503
71.89268293,100.0,0.985,0.746,0.227
75.31219512,100.0,0.979,0.761,0.224
69.009,77.469114,0.933,0.623,0.588
69.45609756,100.0,0.96,0.688,0.474
51.991,28.8697834,0.791,0.371,0.723
56.839,28.85719109,0.757,0.375,0.671
66.33,76.995504,0.932,0.578,0.527
72.25365854,100.0,0.97,0.72,0.242
73.95853659,100.0,0.976,0.76,0.236
78.7404878,100.0,0.998,0.86,0.075
68.17,81.78847504,0.96,0.676,0.673
71.988,88.7,0.813,0.611,0.502
50.786,4.269067287,0.866,0.37,0.651
46.567,6.8,0.829,0.342,0.654
66.74195122,100.0,1.017,0.684,0.473
73.896,96.71979523,1.015,0.717,0.434
75.62195122,100.0,0.989,0.885,0.295
72.143,99.0,0.975,0.679,0.553
45.553,15.66827202,0.871,0.413,0.642
50.531,31.94857979,0.901,0.477,0.594
72.767,100.0,0.96,0.767,0.624
73.307,94.16493988,0.965,0.751,0.422
78.07804878,100.0,0.965,0.884,0.174
76.87073171,100.0,0.952,0.853,0.163
77.18731707,100.0,0.97,0.871,0.16
55.558,14.5,0.739,0.391,0.677
59.492,21.14438629,0.716,0.441,0.702
70.89731707,100.0,0.99,0.711,0.336
69.806,75.80769348,0.909,0.623,0.537
73.546,100.0,0.988,0.744,0.388
54.357,18.36274719,0.959,0.583,0.558
46.831,3.334915638,0.744,0.319,0.742
78.2202439,100.0,0.98,0.879,0.176
78.89609756,100.0,0.937,0.87,0.107
74.899,95.617315,0.939,0.735,0.476
51.52,44.64821243,0.796,0.448,0.681
52.82,37.29332352,0.836,0.434,0.701
70.189,93.30310059,0.968,0.653,0.513
75.522,100.0,0.937,0.781,0.285
73.71463415,100.0,0.951,0.782,0.214
76.67317073,100.0,0.944,0.868,0.14
75.59146341,100.0,0.978,0.862,0.087
69.097,85.55487823,0.919,0.62,0.55
66.742,96.15432739,0.842,0.613,0.633
78.1204878,100.0,0.966,0.802,0.141
69.61219512,100.0,1.017,0.742,0.353
76.69341463,100.0,1.007,0.854,0.097
77.95365854,100.0,0.982,0.833,0.189
77.08780488,100.0,0.972,0.834,0.237
56.82,34.52877045,0.841,0.487,0.62
77.68536585,100.0,0.95,0.782,0.254
72.36536585,100.0,0.944,0.724,0.282
70.32878049,100.0,0.977,0.741,0.3
65.355,72.39,0.877,0.578,0.566
60.984,53.00352097,0.726,0.466,0.694
75.83170732,100.0,0.974,0.785,0.195
78.77780488,100.0,0.983,0.838,0.156
78.10487805,100.0,0.931,0.818,0.24
78.52195122,100.0,0.95,0.816,0.191
71.064,98.44197845,0.836,0.655,0.637
80.2197561,100.0,0.947,0.868,0.155
55.161,7.378530502,0.881,0.477,0.704
74.15121951,100.0,0.929,0.793,0.244
75.618,100.0,0.961,0.782,0.592
70.10804878,100.0,1.003,0.717,0.303
68.77658537,100.0,1.022,0.711,0.363
65.238,62.27459335,0.751,0.49,0.719
64.241,100.0,0.968,0.617,0.477
72.037,96.093624,0.917,0.681,0.477
47.792,6.2,0.736,0.277,0.671
77.34146341,100.0,0.909,0.756,0.322
70.32292683,99.20209503,0.904,0.654,0.474
43.441,2.927073479,0.865,0.368,0.706
56.918,30.96898842,0.959,0.571,0.546
46.676,7.0,0.707,0.243,0.796
77.43560976,100.0,0.95,0.882,0.097
78.1504878,100.0,0.978,0.879,0.11
59.981,17.9,0.766,0.442,0.705
76.78780488,100.0,0.974,0.857,0.22
72.675,77.49204254,0.961,0.697,0.516
68.614,70.24495697,0.953,0.62,0.499
61.105,11.0,0.85,0.43,0.658
72.24634146,100.0,0.985,0.755,0.217
75.26097561,100.0,0.983,0.769,0.223
69.202,86.26005554,0.943,0.632,0.583
69.10487805,100.0,0.958,0.693,0.469
52.276,29.3523159,0.801,0.379,0.719
56.672,30.52117729,0.762,0.376,0.671
67.076,77.883,0.929,0.587,0.526
72.65365854,100.0,0.973,0.73,0.235
74.45853659,100.0,0.979,0.771,0.223
78.95902439,100.0,0.999,0.868,0.067
68.323,82.55436707,0.96,0.678,0.67
72.38,90.4,0.82,0.62,0.485
50.744,9.4,0.868,0.372,0.648
46.67,2.811104298,0.831,0.354,0.654
67.02243902,100.0,1.015,0.685,0.463
74.088,95.9,1.018,0.723,0.425
76.02682927,100.0,0.987,0.887,0.291
72.111,98.48413086,0.973,0.679,0.555
61.459,57.6,0.961,0.656,0.472
45.233,17.3,0.876,0.414,0.645
48.955,32.33729553,0.897,0.476,0.593
72.937,100.0,0.962,0.773,0.616
73.09,94.49201202,0.97,0.756,0.419
78.4804878,100.0,0.964,0.887,0.172
77.3195122,100.0,0.955,0.857,0.155
77.37073171,100.0,0.971,0.876,0.158
55.978,18.58962631,0.744,0.397,0.673
61.427,22.4,0.736,0.453,0.699
70.35121951,100.0,0.987,0.706,0.335
69.212,76.69658661,0.911,0.625,0.531
73.547,100.0,0.99,0.747,0.383
53.448,20.59707832,0.954,0.586,0.557
46.319,3.830210209,0.745,0.322,0.74
78.41243902,100.0,0.98,0.88,0.169
79.0795122,100.0,0.938,0.875,0.106
75.596,96.23616791,0.94,0.744,0.467
51.449,45.66176987,0.801,0.456,0.68
52.737,38.4354744,0.836,0.435,0.699
70.492,93.58891296,0.971,0.66,0.508
75.841,100.0,0.939,0.785,0.267
73.82487805,100.0,0.954,0.787,0.205
77.07317073,100.0,0.945,0.874,0.139
75.94512195,100.0,0.98,0.869,0.089
69.166,86.31544495,0.926,0.627,0.543
67.197,96.40246582,0.845,0.619,0.635
78.60414634,100.0,0.963,0.808,0.141
69.8097561,100.0,1.018,0.757,0.333
76.87853659,100.0,1.001,0.863,0.087
78.30487805,100.0,0.982,0.838,0.183
77.21097561,100.0,0.972,0.842,0.238
57.199,36.60369492,0.848,0.492,0.618
78.13658537,100.0,0.953,0.789,0.25
72.49512195,100.0,0.948,0.732,0.277
70.70243902,100.0,0.976,0.749,0.295
65.733,80.3,0.876,0.589,0.563
61.388,54.59486389,0.734,0.471,0.688
75.98536585,100.0,0.976,0.794,0.198
78.88536585,100.0,0.987,0.849,0.161
78.0,100.0,0.934,0.825,0.233
78.82439024,100.0,0.953,0.824,0.184
71.272,98.9,0.84,0.661,0.632
80.42414634,100.0,0.947,0.871,0.157
54.816,9.326317787,0.912,0.477,0.702
74.60243902,100.0,0.93,0.806,0.236
75.879,100.0,0.966,0.786,0.581
70.90902439,100.0,1.0,0.732,0.277
69.34926829,100.0,1.021,0.722,0.339
65.629,64.10268402,0.754,0.494,0.716
65.172,100.0,0.968,0.626,0.462
72.445,96.32958221,0.92,0.688,0.472
48.531,4.28854084,0.739,0.289,0.672
77.73902439,100.0,0.905,0.766,0.333
47.408,6.6,0.821,0.272,0.618
70.40487805,99.22089386,0.904,0.66,0.477
43.131,3.379020214,0.863,0.369,0.705
55.558,31.9824295,0.958,0.562,0.547
47.505,6.235727787,0.712,0.248,0.795
77.79439024,100.0,0.95,0.883,0.1
78.14268293,100.0,0.981,0.885,0.106
60.771,18.13286781,0.776,0.449,0.7
77.33414634,100.0,0.978,0.865,0.214
72.97,78.29434967,0.963,0.703,0.523
68.884,71.35339355,0.955,0.625,0.497
61.377,2.158482552,0.852,0.432,0.656
72.64634146,100.0,0.986,0.766,0.206
75.41219512,100.0,0.982,0.778,0.228
69.325,86.412854,0.943,0.638,0.579
69.00487805,100.0,0.961,0.696,0.462
40.64,1.027835965,0.868,0.302,0.594
52.833,29.83145714,0.808,0.388,0.717
56.591,32.2,0.769,0.377,0.672
67.895,80.03151703,0.927,0.597,0.522
72.70487805,100.0,0.975,0.738,0.23
74.70731707,100.0,0.98,0.782,0.205
79.19756098,100.0,1.002,0.879,0.063
68.49,83.31685638,0.959,0.68,0.668
72.863,92.0,0.826,0.627,0.467
50.624,6.197068214,0.866,0.373,0.646
46.977,3.94494772,0.837,0.364,0.652
67.57634146,100.0,1.01,0.689,0.446
74.298,97.06565094,1.02,0.735,0.42
76.42926829,100.0,0.988,0.89,0.282
72.703,98.7,0.975,0.685,0.553
71.802,78.4,0.947,0.56,0.358
60.805,69.48335266,0.957,0.651,0.468
44.945,17.11245918,0.867,0.413,0.646
47.993,32.72261047,0.899,0.472,0.594
73.066,100.0,0.96,0.779,0.609
73.474,94.81500244,0.97,0.762,0.415
78.63170732,100.0,0.966,0.891,0.169
77.67073171,100.0,0.957,0.863,0.151
46.552,3.9,0.842,0.294,0.623
77.47317073,100.0,0.971,0.878,0.157
56.218,19.5782547,0.751,0.402,0.672
63.917,26.74619293,0.748,0.467,0.695
71.06097561,100.0,0.987,0.716,0.326
68.599,77.58140564,0.915,0.626,0.526
73.728,100.0,0.991,0.748,0.379
52.523,22.82732964,0.969,0.586,0.556
46.025,4.321425438,0.745,0.325,0.739
78.62365854,100.0,0.979,0.879,0.162
79.32439024,100.0,0.944,0.88,0.105
75.669,97.241124,0.938,0.749,0.446
51.108,46.67124557,0.806,0.461,0.679
52.582,40.7,0.835,0.436,0.698
70.738,93.87064362,0.974,0.665,0.508
76.182,100.0,0.943,0.794,0.27
74.51463415,100.0,0.956,0.792,0.197
77.47560976,100.0,0.944,0.879,0.136
76.13902439,100.0,0.984,0.876,0.079
69.096,87.07193756,0.931,0.633,0.518
67.471,96.64652252,0.84,0.624,0.63
78.66585366,100.0,0.964,0.813,0.142
69.35853659,100.0,1.022,0.764,0.326
77.09073171,100.0,1.002,0.873,0.086
78.60487805,100.0,0.982,0.842,0.186
77.1902439,100.0,0.979,0.848,0.24
57.6,42.6,0.851,0.497,0.614
77.83902439,100.0,0.962,0.799,0.244
62.721,66.859519,0.91,0.527,0.543
72.31707317,100.0,0.95,0.742,0.263
70.55780488,100.0,0.982,0.756,0.304
65.962,80.94,0.879,0.585,0.557
61.792,56.18213272,0.741,0.478,0.678
76.1804878,100.0,0.98,0.83,0.203
79.60243902,100.0,0.984,0.86,0.165
78.14878049,100.0,0.937,0.833,0.235
78.97560976,100.0,0.956,0.829,0.182
71.474,98.65785217,0.844,0.666,0.604
80.50146341,100.0,0.949,0.871,0.161
54.526,14.5,0.882,0.479,0.693
75.00487805,100.0,0.925,0.804,0.219
76.157,100.0,0.969,0.789,0.571
71.2195122,100.0,1.003,0.744,0.265
69.01219512,100.0,1.021,0.733,0.327
66.018,65.92668915,0.763,0.501,0.711
65.505,100.0,0.968,0.628,0.447
72.845,96.092755,0.92,0.696,0.462
49.164,6.066863537,0.752,0.299,0.673
77.58780488,100.0,0.908,0.776,0.339
48.024,3.663175583,0.826,0.283,0.614
70.60731707,99.23561859,0.909,0.667,0.476
42.848,3.826887608,0.863,0.369,0.704
54.101,32.99179077,0.951,0.557,0.548
48.191,6.7,0.719,0.256,0.794
77.88292683,100.0,0.952,0.886,0.092
78.32926829,100.0,0.985,0.895,0.103
61.549,21.7325325,0.788,0.455,0.697
78.08536585,100.0,0.979,0.874,0.2
61.09,70.46,0.628,0.43,0.775
73.279,79.09257507,0.982,0.71,0.524
69.1,71.3,0.938,0.63,0.493
60.629,4.295089722,0.853,0.435,0.657
72.99756098,100.0,0.988,0.776,0.202
75.71219512,100.0,0.983,0.786,0.221
69.478,87.76236725,0.947,0.644,0.576
69.80731707,100.0,0.959,0.7,0.455
41.681,2.174127579,0.877,0.309,0.591
48.81,30.30652809,0.836,0.376,0.714
56.418,33.83826828,0.775,0.379,0.669
68.478,81.637983,0.932,0.605,0.511
72.55121951,100.0,0.979,0.748,0.225
74.80731707,100.0,0.982,0.794,0.199
79.33902439,100.0,0.989,0.894,0.06
54.199,15.3,0.761,0.439,0.726
68.642,84.07527161,0.959,0.685,0.669
73.169,93.2,0.835,0.639,0.447
50.914,7.15528965,0.87,0.38,0.642
47.175,5.0747118,0.858,0.373,0.648
68.37487805,100.0,1.006,0.696,0.429
74.527,97.23280334,1.012,0.744,0.414
76.5804878,100.0,0.991,0.893,0.28
72.668,98.4,0.977,0.686,0.551
72.107,86.17598724,0.949,0.569,0.342
60.001,64.9,0.955,0.644,0.461
44.701,19.0,0.859,0.411,0.646
46.819,33.1038475,0.903,0.466,0.596
75.183,100.0,0.929,0.669,0.33
73.67,100.0,0.959,0.787,0.605
73.722,95.13315582,0.99,0.773,0.415
78.93170732,100.0,0.966,0.894,0.156
77.87560976,100.0,0.956,0.866,0.147
64.189,97.0,0.973,0.615,0.368
47.528,2.070949316,0.841,0.296,0.655
77.6195122,100.0,0.975,0.882,0.129
56.526,20.56204224,0.76,0.409,0.677
50.325,6.9,0.75,0.293,0.68
66.228,29.54021454,0.756,0.481,0.691
71.41219512,100.0,0.983,0.72,0.328
68.773,78.46138,0.917,0.633,0.513
61.871,70.929888,0.902,0.631,0.593
74.039,100.0,0.99,0.75,0.366
51.694,25.0527401,0.964,0.587,0.555
45.75,4.807798386,0.745,0.329,0.711
78.83902439,100.0,0.983,0.884,0.157
79.5804878,100.0,0.944,0.884,0.108
76.018,96.69554901,0.939,0.755,0.44
50.957,48.2,0.803,0.459,0.679
52.695,40.70677567,0.836,0.437,0.696
70.926,94.1475296,0.978,0.663,0.499
76.295,100.0,0.942,0.794,0.255
74.66829268,100.0,0.957,0.796,0.188
77.72682927,100.0,0.944,0.884,0.127
76.34146341,100.0,0.984,0.886,0.077
69.279,91.0,0.937,0.64,0.511
67.737,96.88573456,0.835,0.629,0.627
78.71707317,100.0,0.965,0.818,0.152
70.06341463,100.0,1.023,0.773,0.281
77.29121951,100.0,1.003,0.881,0.082
78.75609756,100.0,0.981,0.84,0.191
77.3902439,100.0,0.974,0.855,0.236
58.03,40.74053955,0.856,0.502,0.608
52.356,16.4,0.733,0.339,0.701
77.98780488,100.0,0.968,0.801,0.238
64.17,73.86991882,0.922,0.573,0.564
68.422,67.394103,0.928,0.55,0.536
72.64195122,100.0,0.954,0.749,0.245
70.67707317,100.0,0.983,0.763,0.297
66.221,83.73,0.89,0.59,0.554
62.207,60.1,0.75,0.486,0.67
76.08292683,100.0,0.982,0.837,0.204
79.35121951,100.0,0.988,0.862,0.145
78.65853659,100.0,0.939,0.841,0.2
79.42439024,100.0,0.956,0.835,0.186
71.694,98.75891113,0.848,0.671,0.598
80.46097561,100.0,0.958,0.872,0.155
65.63,97.0,1.008,0.671,0.386
54.495,13.20889187,0.881,0.48,0.692
75.4097561,100.0,0.925,0.815,0.212
76.416,100.0,0.966,0.787,0.564
71.57073171,100.0,1.009,0.753,0.243
69.74292683,100.0,1.022,0.746,0.284
